"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.050208325E-3,3.294352591E-1,1.586360335E-1,-2.905287221E-2,3.667929259E-1
1.308620832E-2,3.557570577E-1,4.604894668E-2,-3.669698536E-2,3.605970858E-1
2.312220834E-2,3.320240378E-1,-5.522654206E-2,-4.114366323E-2,3.390910404E-1
3.315720832E-2,2.760575712E-1,-1.274507940E-1,-4.007806629E-2,3.066883416E-1
4.319320832E-2,2.002397925E-1,-1.209729239E-1,-3.502231836E-2,2.365522893E-1
5.322920834E-2,1.124729663E-1,-5.968977138E-2,-2.989927307E-2,1.307937441E-1
6.326420832E-2,4.099612311E-2,6.503911316E-2,-3.542692959E-2,8.465125924E-2
7.330020831E-2,-4.846094176E-3,2.342428714E-1,-4.621748999E-2,2.388080062E-1
8.333620834E-2,2.890894003E-2,3.967580199E-1,-7.617378980E-2,4.050371581E-1
9.337120832E-2,1.270858943E-1,4.982407689E-1,-1.267293543E-1,5.295800389E-1
1.034072083E-1,2.445049286E-1,5.092611909E-1,-1.779499352E-1,5.922801703E-1
1.134432083E-1,3.492969573E-1,4.695761800E-1,-2.045588642E-1,6.199632909E-1
1.234782083E-1,4.112356901E-1,4.371130466E-1,-1.881423444E-1,6.289516278E-1
1.335142083E-1,4.252862334E-1,4.064280391E-1,-1.471212804E-1,6.063800808E-1
1.435492083E-1,3.945962191E-1,3.732647598E-1,-9.765120596E-2,5.518772644E-1
1.535852083E-1,3.375135064E-1,3.625748754E-1,-5.932110548E-2,4.988936769E-1
1.636212083E-1,2.775343060E-1,3.478004634E-1,-5.413939431E-2,4.482427104E-1
1.736562083E-1,2.158398330E-1,3.191414177E-1,-7.826454937E-2,3.931455427E-1
1.836922083E-1,1.373990923E-1,2.984142900E-1,-1.016785279E-1,3.439013260E-1
1.937282083E-1,2.274824493E-2,3.270494938E-1,-1.143403649E-1,3.472068160E-1
2.037632083E-1,-1.019718498E-1,4.173948169E-1,-1.035614908E-1,4.419747433E-1
2.137992083E-1,-2.192436010E-1,5.172104239E-1,-1.032636091E-1,5.711722614E-1
2.238352083E-1,-3.246693909E-1,5.734579563E-1,-1.275529712E-1,6.712182965E-1
2.338702083E-1,-4.042437077E-1,5.751260519E-1,-1.760112345E-1,7.246812440E-1
2.439062083E-1,-4.713771939E-1,5.153641701E-1,-2.326777130E-1,7.361627571E-1
2.539422083E-1,-5.049921274E-1,4.474866092E-1,-2.756247818E-1,7.288554963E-1
2.639772083E-1,-5.175262690E-1,3.840927184E-1,-2.884183526E-1,7.060777588E-1
2.740132083E-1,-5.049394965E-1,3.409552276E-1,-2.570509017E-1,6.612787071E-1
2.840482083E-1,-4.342083335E-1,3.455233574E-1,-2.024302632E-1,5.906786595E-1
2.940842083E-1,-3.158803582E-1,3.547317684E-1,-1.511962116E-1,4.984729908E-1
3.041202083E-1,-1.069676206E-1,3.402271271E-1,-1.206561476E-1,3.765029559E-1
3.141552083E-1,1.184790358E-1,3.357705772E-1,-1.363130361E-1,3.812615982E-1
3.241912083E-1,2.890877724E-1,3.577688038E-1,-1.742646843E-1,4.918723791E-1
3.342272083E-1,3.708060980E-1,3.984003961E-1,-1.934757680E-1,5.776269650E-1
3.442622083E-1,3.808049262E-1,4.217461944E-1,-1.759649515E-1,5.948494838E-1
3.542982083E-1,3.441595435E-1,3.419021964E-1,-1.406132579E-1,5.050890927E-1
3.643342083E-1,2.646042705E-1,1.090963855E-1,-1.110883802E-1,3.070147708E-1
3.743692083E-1,1.661284119E-1,-1.440763324E-1,-9.065119177E-2,2.378534788E-1
3.844052083E-1,7.351300120E-2,-3.879190981E-1,-1.108035967E-1,4.100766088E-1
3.944412083E-1,-8.323373646E-2,-5.260735154E-1,-6.936202198E-2,5.371147816E-1
4.044762083E-1,-4.010713398E-1,-1.833989918E-1,3.134135604E-1,5.410374014E-1
4.145122083E-1,-8.682983518E-1,4.090252817E-1,2.174147815E-1,9.841305279E-1
4.245472083E-1,-9.631335139E-1,3.851636350E-1,-1.626995355E-1,1.049975395E0
4.345832083E-1,-7.485428452E-1,1.376596689E-1,-6.360005736E-1,9.918484286E-1
4.446192083E-1,-6.768950224E-1,2.593797147E-1,-8.744595051E-1,1.135845119E0
4.546542083E-1,-6.670470834E-1,3.960041702E-1,-9.406116009E-1,1.219229797E0
4.646902083E-1,-7.497609258E-1,6.566642523E-1,-9.325198531E-1,1.364896576E0
4.747262083E-1,-9.072030783E-1,1.044499516E0,-9.499616623E-1,1.678220434E0
4.847612083E-1,-1.058252692E0,1.253347039E0,-1.013794780E0,1.928356144E0
4.947972083E-1,-1.150289416E0,1.196480632E0,-1.056827545E0,1.967642270E0
5.048332083E-1,-1.206301808E0,9.492385983E-1,-1.028620720E0,1.847776652E0
5.148682083E-1,-1.281149983E0,5.075584054E-1,-9.032974839E-1,1.647697533E0
5.249042083E-1,-1.408728242E0,2.477979288E-2,-6.988084912E-1,1.572724580E0
5.349402083E-1,-1.615939021E0,-4.991168380E-1,-4.388354421E-1,1.747270180E0
5.449752083E-1,-1.840445638E0,-1.072309017E0,-1.550977528E-1,2.135683049E0
5.550112083E-1,-2.053854704E0,-1.461763024E0,7.354602218E-2,2.521999068E0
5.650462083E-1,-2.278561354E0,-1.500792980E0,2.346265167E-1,2.738479690E0
5.750822083E-1,-2.388737917E0,-1.563673854E0,3.815850317E-1,2.880408286E0
5.851182083E-1,-2.275376558E0,-1.861644030E0,4.518746138E-1,2.974432323E0
5.951532083E-1,-2.327421188E0,-1.739461899E0,3.908757865E-1,2.931791426E0
6.051892083E-1,-2.554181814E0,-1.530708313E0,3.598592877E-1,2.999401838E0
6.152252083E-1,-2.865825891E0,-1.713158369E0,3.754414022E-1,3.359884802E0
6.252602083E-1,-3.150842905E0,-2.056824923E0,5.279318690E-1,3.799612063E0
6.352962083E-1,-3.467403650E0,-2.337298870E0,8.446874619E-1,4.266069736E0
6.453322083E-1,-3.694134235E0,-2.574800253E0,1.220629692E0,4.665421839E0
6.553672083E-1,-3.687731028E0,-2.655058861E0,1.504444480E0,4.786653411E0
6.654032083E-1,-3.436064243E0,-2.452206135E0,1.719275236E0,4.558043412E0
6.754382083E-1,-3.022790670E0,-1.928601265E0,1.863185048E0,4.040819818E0
6.854742083E-1,-2.519835711E0,-1.115799904E0,1.866489530E0,3.328417732E0
6.955102083E-1,-1.778206944E0,-4.001902640E-1,1.601007700E0,2.425983891E0
7.055452083E-1,-8.533137441E-1,1.224010438E-1,1.171759725E0,1.454698324E0
7.155812083E-1,-5.695063621E-2,5.865246654E-1,7.724360824E-1,9.715513673E-1
7.256172083E-1,4.632251561E-1,9.271826744E-1,5.007419586E-1,1.151081129E0
7.356522083E-1,8.772042990E-1,9.516220689E-1,2.094779611E-1,1.311088464E0
7.456882083E-1,1.243638754E0,7.565399408E-1,-1.284076720E-1,1.461327671E0
7.557242083E-1,1.472078204E0,5.364134908E-1,-4.437769055E-1,1.628401552E0
7.657592083E-1,1.594086409E0,5.858098269E-1,-6.095201373E-1,1.804383393E0
7.757952083E-1,1.565562963E0,9.059477448E-1,-5.638129711E-1,1.894627609E0
7.858312083E-1,1.368993998E0,1.241862059E0,-2.606970370E-1,1.866635712E0
7.958662083E-1,1.074531555E0,1.490986705E0,8.145417273E-2,1.839645129E0
8.059022083E-1,7.503065467E-1,1.478641152E0,2.659502327E-1,1.679306136E0
8.159372083E-1,4.353322089E-1,1.105149031E0,2.807112932E-1,1.220519292E0
8.259732083E-1,8.567272872E-2,5.703379512E-1,1.863328665E-1,6.060900363E-1
8.360093333E-1,-1.483425349E-1,1.940475255E-1,1.101227254E-1,2.679308949E-1
8.460443333E-1,-2.562442422E-1,1.049131304E-1,1.859493926E-2,2.775133300E-1
8.560803333E-1,-2.539647818E-1,2.085106671E-1,-7.454591244E-2,3.369449536E-1
8.661163333E-1,-1.603631973E-1,4.456800520E-1,-1.087603420E-1,4.859792957E-1
8.761513333E-1,-7.845938206E-2,6.360179782E-1,-1.332852840E-1,6.545530614E-1
8.861873333E-1,2.779728360E-2,6.355676651E-1,-2.606403232E-1,6.874971447E-1
8.962233333E-1,1.374479383E-1,7.097444534E-1,-3.708699942E-1,8.125107245E-1
9.062583333E-1,2.667734325E-1,8.683428764E-1,-4.743622839E-1,1.024796073E0
9.162943333E-1,3.958877325E-1,1.037142873E0,-5.430179238E-1,1.235823977E0
9.263303333E-1,5.555564761E-1,1.159088731E0,-6.994655728E-1,1.463346087E0
9.363653333E-1,6.773828268E-1,1.198917150E0,-9.837918878E-1,1.692364118E0
9.464013333E-1,7.323890924E-1,1.025614619E0,-1.180844545E0,1.727041682E0
9.564363333E-1,8.035155535E-1,7.365348339E-1,-1.136702776E0,1.574869521E0
9.664723333E-1,8.688775301E-1,5.393754840E-1,-1.039418340E0,1.458171650E0
9.765083333E-1,8.387671709E-1,4.138880074E-1,-9.021971226E-1,1.299535801E0
9.865433333E-1,6.912770271E-1,2.956953347E-1,-7.489675879E-1,1.061250257E0
9.965793333E-1,4.843434691E-1,2.216681391E-1,-6.249055266E-1,8.211164821E-1
1.006615333E0,2.622669935E-1,1.502810419E-1,-5.571701527E-1,6.338824390E-1
1.016650333E0,3.311231732E-2,7.244531065E-2,-5.324034691E-1,5.383290838E-1
1.026686333E0,-1.788553298E-1,7.157499343E-2,-5.239676237E-1,5.582600464E-1
1.036722333E0,-1.129287258E-1,-1.269572228E-1,-5.260729790E-1,5.528325359E-1
1.046757333E0,1.201804280E-1,-3.820371926E-1,-5.486003757E-1,6.792334827E-1
1.056793333E0,2.939881980E-1,-4.825951755E-1,-6.291633248E-1,8.456794034E-1
1.066829333E0,4.335141480E-1,-5.391277075E-1,-6.864356995E-1,9.745702494E-1
1.076864333E0,5.678133368E-1,-5.987426043E-1,-6.503679752E-1,1.050658458E0
1.086900333E0,6.854872108E-1,-6.023495793E-1,-5.517389178E-1,1.066364649E0
1.096935333E0,7.826691866E-1,-5.694422722E-1,-4.216381609E-1,1.055752952E0
1.106971333E0,8.683161736E-1,-5.318040848E-1,-3.372212648E-1,1.072616774E0
1.117007333E0,8.969690204E-1,-4.412475526E-1,-3.066062927E-1,1.045590859E0
1.127042333E0,8.435095549E-1,-1.067846268E-1,-2.812143564E-1,8.955405295E-1
1.137078333E0,7.715863585E-1,3.615639508E-1,-1.748675257E-1,8.698578336E-1
1.147114333E0,6.711553931E-1,8.170616627E-1,7.871280611E-2,1.060299499E0
1.157149333E0,5.869597793E-1,1.236436248E0,3.767109215E-1,1.419580042E0
1.167185333E0,4.934271872E-1,1.588348269E0,6.267380714E-1,1.777391691E0
1.177221333E0,3.509859741E-1,1.673554897E0,7.144192457E-1,1.853205873E0
1.187256333E0,6.773751229E-2,1.333378673E0,6.858078241E-1,1.500939515E0
1.197292333E0,-2.287256420E-1,9.880526662E-1,6.256740689E-1,1.191650759E0
1.207328333E0,-5.846475363E-1,5.754094720E-1,6.523725390E-1,1.048092902E0
1.217363333E0,-9.711518288E-1,1.342903525E-1,6.911268234E-1,1.199510758E0
1.227399333E0,-1.289106011E0,-3.099664152E-1,6.692534685E-1,1.485184733E0
1.237434333E0,-1.488167882E0,-6.944559813E-1,5.931242108E-1,1.746055292E0
1.247470333E0,-1.553745031E0,-9.184283614E-1,4.769039154E-1,1.866834653E0
1.257506333E0,-1.496368885E0,-7.578759193E-1,3.482713997E-1,1.713122505E0
1.267541333E0,-1.430617332E0,-4.496656358E-1,1.960925013E-1,1.512387981E0
1.277577333E0,-1.437524319E0,-2.314184308E-1,6.838163733E-2,1.457637371E0
1.287613333E0,-1.495361805E0,-8.544550091E-2,-4.953566007E-3,1.497809200E0
1.297648333E0,-1.502483010E0,1.348629780E-2,-6.188401580E-2,1.503817378E0
1.307684333E0,-1.462878585E0,7.852335274E-2,-1.618622839E-1,1.473899274E0
1.317720333E0,-1.450230956E0,5.691682920E-2,-2.947969437E-1,1.480984331E0
1.327755333E0,-1.442141652E0,-5.309409276E-2,-4.097661376E-1,1.500166596E0
1.337791333E0,-1.391957402E0,-9.598779678E-2,-5.019430518E-1,1.482803390E0
1.347826333E0,-1.320385933E0,-2.652519383E-3,-5.768764019E-1,1.440906809E0
1.357862333E0,-1.278679609E0,8.074136823E-2,-6.000177860E-1,1.414765725E0
1.367898333E0,-1.260593057E0,9.841996431E-2,-5.344773531E-1,1.372751756E0
1.377933333E0,-1.232610345E0,8.461602964E-3,-4.207732677E-1,1.302478408E0
1.387969333E0,-1.040093303E0,2.153601944E-1,-3.404613733E-1,1.115386946E0
1.398005333E0,-7.727143764E-1,4.741912186E-1,-2.984741330E-1,9.544797680E-1
1.408040333E0,-5.904414654E-1,4.958871901E-1,-2.433067411E-1,8.085316318E-1
1.418076333E0,-4.464066625E-1,4.626761079E-1,-2.240320593E-1,6.808365830E-1
1.428112333E0,-3.306220174E-1,3.498126864E-1,-2.110446244E-1,5.255660448E-1
1.438147333E0,-2.759128511E-1,1.274329722E-1,-1.764747500E-1,3.514404661E-1
1.448183333E0,-2.820557058E-1,-3.728434071E-2,-1.085319072E-1,3.045073367E-1
1.458219333E0,-3.466615975E-1,-1.746594906E-1,-2.562155761E-2,3.890201345E-1
1.468254333E0,-4.646212757E-1,-2.813454568E-1,5.078480020E-2,5.455339511E-1
1.478290333E0,-6.143413186E-1,-2.903966010E-1,1.009167358E-1,6.869713452E-1
1.488325333E0,-7.812421322E-1,-3.136688769E-1,1.326533556E-1,8.522466463E-1
1.498361333E0,-8.916700482E-1,-2.572411895E-1,1.726036519E-1,9.439494293E-1
1.508397333E0,-9.412567616E-1,-1.971395016E-1,2.154696286E-1,9.855229247E-1
1.518432333E0,-9.589793682E-1,-1.395777464E-1,2.771113813E-1,1.007925639E0
1.528468333E0,-9.909596443E-1,-7.892690599E-2,3.629482388E-1,1.058282522E0
1.538504333E0,-1.070939064E0,-2.079473250E-2,4.446772933E-1,1.159776183E0
1.548539333E0,-1.210475922E0,2.659755014E-2,5.331791639E-1,1.322966140E0
