"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.740345150877561E9,"2025-02-23 13:12:30.878 UTC-08:00"
"PAUSE",1.392723391666368E1,1.740345164804827E9,"2025-02-23 13:12:44.805 UTC-08:00"
"START",1.392723391666368E1,1.740345178992105E9,"2025-02-23 13:12:58.992 UTC-08:00"
"PAUSE",2.194804450000083E1,1.740345187012933E9,"2025-02-23 13:13:07.013 UTC-08:00"
"START",2.194804450000083E1,1.740345224810778E9,"2025-02-23 13:13:44.811 UTC-08:00"
"PAUSE",3.070372599999973E1,1.740345233566478E9,"2025-02-23 13:13:53.566 UTC-08:00"
"START",3.070372599999973E1,1.740345238012692E9,"2025-02-23 13:13:58.013 UTC-08:00"
"PAUSE",3.877740737500426E1,1.740345246086391E9,"2025-02-23 13:14:06.086 UTC-08:00"
"START",3.877740737500426E1,1.740345250211123E9,"2025-02-23 13:14:10.211 UTC-08:00"
"PAUSE",4.093646454167174E1,1.740345252370185E9,"2025-02-23 13:14:12.370 UTC-08:00"
"START",4.093646454167174E1,1.740345276522637E9,"2025-02-23 13:14:36.523 UTC-08:00"
"PAUSE",4.446075016666873E1,1.740345280046931E9,"2025-02-23 13:14:40.047 UTC-08:00"
"START",4.446075016666873E1,1.740345285308693E9,"2025-02-23 13:14:45.309 UTC-08:00"
"PAUSE",4.840013833333796E1,1.740345289248089E9,"2025-02-23 13:14:49.248 UTC-08:00"
