segment,start,end,keep,comment
0,6.55,7.4,,Intermediate axis rotation
1,17.32,18.2,,Intermediate axis rotation
2, 24.12,24.85,,Intermediate axis rotation
3, 34.7,35.558,,Intermediate axis rotation
4, 40.52,40.93,,Intermediate axis rotation
5, 47.5,48.3,false,not a trial
6, 46.88,47.55,,Intermediate axis rotation
