"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
-1.616458334E-3,2.164919861E-2,9.012775868E-2,2.317635715E-1,2.496118061E-1
8.404541666E-3,6.153063383E-3,-6.901821494E-2,2.679844499E-1,2.767978316E-1
1.842554167E-2,-7.613686845E-3,-2.139171064E-1,3.077590168E-1,3.748787924E-1
2.844654167E-2,-8.489601314E-3,-3.233525157E-1,3.545227945E-1,4.799117987E-1
3.846754167E-2,4.826347344E-3,-3.882800639E-1,3.563547432E-1,5.270421280E-1
4.848754167E-2,4.733013362E-2,-3.429927230E-1,2.717061937E-1,4.401231706E-1
5.850854167E-2,7.166784257E-2,-2.587309182E-1,2.519610822E-1,3.681879338E-1
6.852954167E-2,5.852407962E-2,-1.821836680E-1,2.585816979E-1,3.216837753E-1
7.855054167E-2,4.699444398E-2,-1.644510329E-1,2.635955811E-1,3.142216580E-1
8.857054167E-2,7.272137702E-2,-1.775388718E-1,2.569424808E-1,3.206678782E-1
9.859154167E-2,8.099456131E-2,-1.768195182E-1,2.561967969E-1,3.216551876E-1
1.086125417E-1,9.788485616E-2,-1.886985451E-1,2.603268027E-1,3.360931868E-1
1.186335417E-1,1.104659811E-1,-2.070179731E-1,2.621134222E-1,3.517991191E-1
1.286545417E-1,1.187745109E-1,-2.377175540E-1,2.671537101E-1,3.768131165E-1
1.386745417E-1,1.278334558E-1,-2.984167635E-1,2.582477331E-1,4.148323141E-1
1.486955417E-1,1.383540034E-1,-3.746220469E-1,2.640308142E-1,4.787439599E-1
1.587165417E-1,1.561730206E-1,-4.609051049E-1,2.913232148E-1,5.671796396E-1
1.687375417E-1,1.667313874E-1,-5.631193519E-1,3.384750187E-1,6.778407618E-1
1.787585417E-1,1.776279658E-1,-6.627599597E-1,3.936988413E-1,7.910759989E-1
1.887785417E-1,1.565437168E-1,-7.970908284E-1,4.741878211E-1,9.405922675E-1
1.987995417E-1,1.285608560E-1,-9.763218760E-1,5.520577431E-1,1.128937576E0
2.088205417E-1,9.800560772E-2,-1.167572260E0,5.945644379E-1,1.313901424E0
2.188415417E-1,8.868998289E-2,-1.357636333E0,6.075125337E-1,1.490004632E0
2.288625417E-1,9.531459957E-2,-1.511681795E0,5.722603202E-1,1.619181459E0
2.388825417E-1,1.359978765E-1,-1.586885452E0,5.201389194E-1,1.675483619E0
2.489035417E-1,1.827267706E-1,-1.548433185E0,4.737245440E-1,1.629554953E0
2.589245417E-1,2.433245480E-1,-1.413443208E0,4.096111655E-1,1.491579647E0
2.689455417E-1,3.342722952E-1,-1.146119952E0,3.316372633E-1,1.239077151E0
2.789665417E-1,3.932734132E-1,-8.302188516E-1,2.831141055E-1,9.612912752E-1
2.889865417E-1,3.982862830E-1,-5.105609298E-1,2.537429035E-1,6.954781717E-1
2.990075417E-1,3.927993178E-1,-2.090594769E-1,1.973951608E-1,4.867874469E-1
3.090285417E-1,3.775622845E-1,8.610133082E-2,1.407105774E-1,4.120269219E-1
3.190495417E-1,3.701410592E-1,3.810774386E-1,8.676584810E-2,5.382868476E-1
3.290705417E-1,3.684078753E-1,6.523680687E-1,3.497428820E-2,7.500211067E-1
3.390905417E-1,3.656180203E-1,7.819005847E-1,-1.256255782E-4,8.631599370E-1
3.491115417E-1,3.997839689E-1,6.334344149E-1,-5.231452733E-2,7.508682904E-1
3.591325417E-1,4.387094080E-1,4.279337227E-1,-1.155618355E-1,6.236567594E-1
3.691535417E-1,4.978065491E-1,2.180883288E-1,-1.621261537E-1,5.671496885E-1
3.791745417E-1,5.292228460E-1,2.713411115E-2,-2.054793537E-1,5.683615447E-1
3.891945417E-1,5.342404842E-1,4.713391885E-2,-2.257822305E-1,5.819038726E-1
3.992155417E-1,5.387667418E-1,1.647553295E-1,-2.274955660E-1,6.075920944E-1
4.092365417E-1,5.392852426E-1,3.055047393E-1,-2.199274004E-1,6.576699628E-1
4.192575417E-1,5.385339260E-1,4.327359796E-1,-2.164890021E-1,7.239797687E-1
4.292785417E-1,5.243935585E-1,5.518442392E-1,-1.956662834E-1,7.860063378E-1
4.392985417E-1,5.024437904E-1,6.571267247E-1,-1.776200235E-1,8.460580167E-1
4.493195417E-1,4.790345728E-1,7.716420889E-1,-1.596199870E-1,9.221627707E-1
4.593405417E-1,4.574522376E-1,8.760738373E-1,-1.376124918E-1,9.978502473E-1
4.693615417E-1,4.470728338E-1,9.285570383E-1,-1.082668453E-1,1.036249971E0
4.793825417E-1,4.414210618E-1,8.969875574E-1,-8.253018558E-2,1.003120363E0
4.894025417E-1,4.450650513E-1,7.668591142E-1,-5.679153278E-2,8.884712033E-1
4.994235417E-1,4.440129995E-1,5.759308934E-1,-4.023285583E-2,7.283286486E-1
