segment,start,end,keep,comment
0,6.1,6.8,,Intermediate axis rotation
1,12.17,13.05,,Intermediate axis rotation
2,17.6,18.42,,Intermediate axis rotation
3,23.61,24.6,,Intermediate axis rotation
4,30.2,31.23,,Intermediate axis rotation
5,36.95,37.85,,Intermediate axis rotation
6, 43, 44,, Intermediate axis rotation
7, 50.92, 51.7,,Intermediate axis rotation
8, 57.7, 58.42,,Intermediate axis rotation
9, 62.1, 62.83, ,Intermediate axis rotation
10, 67.3, 68.05, ,Intermediate axis rotation
11, 72.25, 73, ,Intermediate axis rotation
12, 77.9, 78.7, ,Intermediate axis rotation
13, 84.1, 84.8, ,Intermediate axis rotation
14, 91.25, 92.0, ,Intermediate axis rotation
15, 98.3, 99.05, ,Intermediate axis rotation
16, 103.6, 104.5,,Intermediate axis rotation
17, 116.2, 117.25,,Intermediate axis rotation
18, 122.2, 123.2,,Intermediate axis rotation
19, 128.8, 129.7,,Intermediate axis rotation
20, 135.9, 136.8,,Intermediate axis rotation
21, 143.9, 144.8,,Intermediate axis rotation
