"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.740345420165533E9,"2025-02-23 13:17:00.166 UTC-08:00"
"PAUSE",7.316522291665024E0,1.740345427482071E9,"2025-02-23 13:17:07.482 UTC-08:00"
"START",7.316522291665024E0,1.740345439390372E9,"2025-02-23 13:17:19.390 UTC-08:00"
"PAUSE",1.262996591666160E1,1.740345444703828E9,"2025-02-23 13:17:24.704 UTC-08:00"
"START",1.262996591666160E1,1.740345454782551E9,"2025-02-23 13:17:34.783 UTC-08:00"
"PAUSE",2.030680287499854E1,1.740345462459404E9,"2025-02-23 13:17:42.459 UTC-08:00"
"START",2.030680287499854E1,1.740345464693365E9,"2025-02-23 13:17:44.693 UTC-08:00"
"PAUSE",3.501265479166614E1,1.740345479399249E9,"2025-02-23 13:17:59.399 UTC-08:00"
"START",3.501265479166614E1,1.740345484429921E9,"2025-02-23 13:18:04.430 UTC-08:00"
"PAUSE",4.414814804166235E1,1.740345493565435E9,"2025-02-23 13:18:13.565 UTC-08:00"
"START",4.414814804166235E1,1.740345495457788E9,"2025-02-23 13:18:15.458 UTC-08:00"
"PAUSE",5.660539866666659E1,1.740345507915067E9,"2025-02-23 13:18:27.915 UTC-08:00"
"START",5.660539866666659E1,1.740345510940422E9,"2025-02-23 13:18:30.940 UTC-08:00"
"PAUSE",6.090291816667013E1,1.740345515237951E9,"2025-02-23 13:18:35.238 UTC-08:00"
"START",6.090291816667013E1,1.740345516694993E9,"2025-02-23 13:18:36.695 UTC-08:00"
"PAUSE",6.837031225000100E1,1.740345524162403E9,"2025-02-23 13:18:44.162 UTC-08:00"
"START",6.837031225000100E1,1.740345527466187E9,"2025-02-23 13:18:47.466 UTC-08:00"
"PAUSE",7.424017766666657E1,1.740345533336065E9,"2025-02-23 13:18:53.336 UTC-08:00"
"START",7.424017766666657E1,1.740345536494100E9,"2025-02-23 13:18:56.494 UTC-08:00"
"PAUSE",8.061152870833757E1,1.740345542865465E9,"2025-02-23 13:19:02.865 UTC-08:00"
"START",8.061152870833757E1,1.740345549741533E9,"2025-02-23 13:19:09.742 UTC-08:00"
"PAUSE",8.589123629167443E1,1.740345555021252E9,"2025-02-23 13:19:15.021 UTC-08:00"
"START",8.589123629167443E1,1.740345598079195E9,"2025-02-23 13:19:58.079 UTC-08:00"
"PAUSE",9.228383829167433E1,1.740345604471812E9,"2025-02-23 13:20:04.472 UTC-08:00"
"START",9.228383829167433E1,1.740345607725341E9,"2025-02-23 13:20:07.725 UTC-08:00"
"PAUSE",9.672664245834312E1,1.740345612168155E9,"2025-02-23 13:20:12.168 UTC-08:00"
"START",9.672664245834312E1,1.740345615265968E9,"2025-02-23 13:20:15.266 UTC-08:00"
"PAUSE",1.183307212500076E2,1.740345636889816E9,"2025-02-23 13:20:36.890 UTC-08:00"
"START",1.183307212500076E2,1.740345639592417E9,"2025-02-23 13:20:39.592 UTC-08:00"
"PAUSE",1.288801495000080E2,1.740345650147222E9,"2025-02-23 13:20:50.147 UTC-08:00"
"START",1.288801495000080E2,1.740345652975463E9,"2025-02-23 13:20:52.975 UTC-08:00"
"PAUSE",1.439889433750068E2,1.740345668087210E9,"2025-02-23 13:21:08.087 UTC-08:00"
