"event","experiment time","system time","system time text"
"START",1.439889433750068E2,1.740345670117525E9,"2025-02-23 13:21:10.118 UTC-08:00"
"PAUSE",1.511462627083456E2,1.740345677275464E9,"2025-02-23 13:21:17.275 UTC-08:00"
"START",1.511462627083456E2,1.740345698399232E9,"2025-02-23 13:21:38.399 UTC-08:00"
"PAUSE",1.566492821250140E2,1.740345703902376E9,"2025-02-23 13:21:43.902 UTC-08:00"
"START",1.566492821250140E2,1.740345705846261E9,"2025-02-23 13:21:45.846 UTC-08:00"
"PAUSE",1.628069462916828E2,1.740345712004032E9,"2025-02-23 13:21:52.004 UTC-08:00"
"START",1.628069462916828E2,1.740345718029594E9,"2025-02-23 13:21:58.030 UTC-08:00"
"PAUSE",1.701417547916862E2,1.740345725364499E9,"2025-02-23 13:22:05.364 UTC-08:00"
"START",1.701417547916862E2,1.740345728243568E9,"2025-02-23 13:22:08.244 UTC-08:00"
"PAUSE",1.783975811666896E2,1.740345736499488E9,"2025-02-23 13:22:16.499 UTC-08:00"
"START",1.783975811666896E2,1.740345743250129E9,"2025-02-23 13:22:23.250 UTC-08:00"
"PAUSE",1.870474391666867E2,1.740345751900075E9,"2025-02-23 13:22:31.900 UTC-08:00"
"START",1.870474391666867E2,1.740345754203510E9,"2025-02-23 13:22:34.204 UTC-08:00"
"PAUSE",1.924820865833535E2,1.740345759638211E9,"2025-02-23 13:22:39.638 UTC-08:00"
"START",1.924820865833535E2,1.740345762209826E9,"2025-02-23 13:22:42.210 UTC-08:00"
"PAUSE",2.011845271666898E2,1.740345770912351E9,"2025-02-23 13:22:50.912 UTC-08:00"
"START",2.011845271666898E2,1.740345772840533E9,"2025-02-23 13:22:52.841 UTC-08:00"
"PAUSE",2.080568602083586E2,1.740345779712932E9,"2025-02-23 13:22:59.713 UTC-08:00"
"START",2.080568602083586E2,1.740345802915736E9,"2025-02-23 13:23:22.916 UTC-08:00"
"PAUSE",2.138919691250267E2,1.740345808750901E9,"2025-02-23 13:23:28.751 UTC-08:00"
"START",2.138919691250267E2,1.740345813014491E9,"2025-02-23 13:23:33.014 UTC-08:00"
"PAUSE",2.202740665000238E2,1.740345819396649E9,"2025-02-23 13:23:39.397 UTC-08:00"
"START",2.202740665000238E2,1.740345821754419E9,"2025-02-23 13:23:41.754 UTC-08:00"
"PAUSE",2.304008265000230E2,1.740345831881276E9,"2025-02-23 13:23:51.881 UTC-08:00"
"START",2.304008265000230E2,1.740345833244620E9,"2025-02-23 13:23:53.245 UTC-08:00"
"PAUSE",2.368937918333540E2,1.740345839737648E9,"2025-02-23 13:23:59.738 UTC-08:00"
"START",2.368937918333540E2,1.740345841255703E9,"2025-02-23 13:24:01.256 UTC-08:00"
"PAUSE",2.437509467916898E2,1.740345848112924E9,"2025-02-23 13:24:08.113 UTC-08:00"
"START",2.437509467916898E2,1.740345850045072E9,"2025-02-23 13:24:10.045 UTC-08:00"
"PAUSE",2.504669249583530E2,1.740345856761115E9,"2025-02-23 13:24:16.761 UTC-08:00"
"START",2.504669249583530E2,1.740345891761232E9,"2025-02-23 13:24:51.761 UTC-08:00"
"PAUSE",2.579841247500153E2,1.740345899278503E9,"2025-02-23 13:24:59.279 UTC-08:00"
"START",2.579841247500153E2,1.740345901343034E9,"2025-02-23 13:25:01.343 UTC-08:00"
"PAUSE",2.644515772083541E2,1.740345907810548E9,"2025-02-23 13:25:07.811 UTC-08:00"
"START",2.644515772083541E2,1.740345908805764E9,"2025-02-23 13:25:08.806 UTC-08:00"
"PAUSE",2.674802129166856E2,1.740345911834429E9,"2025-02-23 13:25:11.834 UTC-08:00"
"START",2.674802129166856E2,1.740345915096945E9,"2025-02-23 13:25:15.097 UTC-08:00"
"PAUSE",2.751100940833567E2,1.740345922726899E9,"2025-02-23 13:25:22.727 UTC-08:00"
"START",2.751100940833567E2,1.740345926328888E9,"2025-02-23 13:25:26.329 UTC-08:00"
"PAUSE",2.809819400416891E2,1.740345932200790E9,"2025-02-23 13:25:32.201 UTC-08:00"
"START",2.809819400416891E2,1.740345934626213E9,"2025-02-23 13:25:34.626 UTC-08:00"
"PAUSE",2.845831182083566E2,1.740345938227425E9,"2025-02-23 13:25:38.227 UTC-08:00"
"START",2.845831182083566E2,1.740345939962472E9,"2025-02-23 13:25:39.962 UTC-08:00"
"PAUSE",2.906975787083575E2,1.740345946076990E9,"2025-02-23 13:25:46.077 UTC-08:00"
"START",2.906975787083575E2,1.740345947600656E9,"2025-02-23 13:25:47.601 UTC-08:00"
"PAUSE",2.979709937916923E2,1.740345954874140E9,"2025-02-23 13:25:54.874 UTC-08:00"
"START",2.979709937916923E2,1.740345964078570E9,"2025-02-23 13:26:04.079 UTC-08:00"
"PAUSE",3.061438613333594E2,1.740345972251516E9,"2025-02-23 13:26:12.252 UTC-08:00"
"START",3.061438613333594E2,1.740345978174752E9,"2025-02-23 13:26:18.175 UTC-08:00"
"PAUSE",3.075766457500286E2,1.740345979607549E9,"2025-02-23 13:26:19.608 UTC-08:00"
"START",3.075766457500286E2,1.740345985319181E9,"2025-02-23 13:26:25.319 UTC-08:00"
"PAUSE",3.129730448333576E2,1.740345990715631E9,"2025-02-23 13:26:30.716 UTC-08:00"
"START",3.129730448333576E2,1.740345995031932E9,"2025-02-23 13:26:35.032 UTC-08:00"
"PAUSE",3.175416228750182E2,1.740345999600554E9,"2025-02-23 13:26:39.601 UTC-08:00"
"START",3.175416228750182E2,1.740346003339125E9,"2025-02-23 13:26:43.339 UTC-08:00"
"PAUSE",3.238192442083528E2,1.740346009616806E9,"2025-02-23 13:26:49.617 UTC-08:00"
"START",3.238192442083528E2,1.740346012708729E9,"2025-02-23 13:26:52.709 UTC-08:00"
"PAUSE",3.280191953750182E2,1.740346016908720E9,"2025-02-23 13:26:56.909 UTC-08:00"
"START",3.280191953750182E2,1.740346020814794E9,"2025-02-23 13:27:00.815 UTC-08:00"
"PAUSE",3.348620388333511E2,1.740346027657702E9,"2025-02-23 13:27:07.658 UTC-08:00"
"START",3.348620388333511E2,1.740346030252087E9,"2025-02-23 13:27:10.252 UTC-08:00"
"PAUSE",3.401258397916827E2,1.740346035515938E9,"2025-02-23 13:27:15.516 UTC-08:00"
"START",3.401258397916827E2,1.740346041711671E9,"2025-02-23 13:27:21.712 UTC-08:00"
"PAUSE",3.472565437500161E2,1.740346048842443E9,"2025-02-23 13:27:28.842 UTC-08:00"
"START",3.472565437500161E2,1.740346052106251E9,"2025-02-23 13:27:32.106 UTC-08:00"
"PAUSE",3.553150817083515E2,1.740346060164867E9,"2025-02-23 13:27:40.165 UTC-08:00"
"START",3.553150817083515E2,1.740346062263751E9,"2025-02-23 13:27:42.264 UTC-08:00"
"PAUSE",3.626202933750246E2,1.740346069569032E9,"2025-02-23 13:27:49.569 UTC-08:00"
"START",3.626202933750246E2,1.740346072284524E9,"2025-02-23 13:27:52.285 UTC-08:00"
"PAUSE",3.692174369166896E2,1.740346078881730E9,"2025-02-23 13:27:58.882 UTC-08:00"
"START",3.692174369166896E2,1.740346081481866E9,"2025-02-23 13:28:01.482 UTC-08:00"
"PAUSE",3.746622572500273E2,1.740346086926738E9,"2025-02-23 13:28:06.927 UTC-08:00"
"START",3.746622572500273E2,1.740346089831351E9,"2025-02-23 13:28:09.831 UTC-08:00"
"PAUSE",3.783669702500265E2,1.740346093536099E9,"2025-02-23 13:28:13.536 UTC-08:00"
