segment,start,end,keep,comment
0,2.25,2.9,,Intermediate axis rotation
1,17.32,18.2,false,not a trial
2, 24.12,24.85,false,not a trial
3, 34.7,35.558,false,not a trial
4, 40.52,40.93,false,not a trial
5, 47.5,48.3,false,not a trial
6, 46.88,47.55,false,not a trial
7, 65.4, 65.9,, Intermediate axis rotation
8, 70.24,70.8,,Intermediate axis rotation
9, 76.67,77.21,,Intermediate axis rotation
10, 82.2,82.7,false,not a trial
11, 88.65,89.2,,Intermediate axis rotation
12, 94.33,94.82,,Intermediate axis rotation
13, 113.725,114.2,,Intermediate axis rotation
14, 125.66,126.17,,Intermediate axis rotation
15, 138.28,138.69,,Intermediate axis rotation
16, 146.5,147.08,,Intermediate axis rotation
17, 152.25,152.87,,Intermediate axis rotation
18, 159.45,160.13,,Intermediate axis rotation 
19, 165.69,166.54,,Intermediate axis rotation
20, 174.6,175.62,,Intermediate axis rotation
21, 181.9,182.88,,Intermediate axis rotation
22, 187.75,188.71,,Intermediate axis rotation
23, 195.37,196.3,,Intermediate axis rotation
24, 203.38,204.27,,Intermediate axis rotation
25, 209.75,210.65,,Intermediate axis rotation
26, 216.45,217.3,,Intermediate axis rotation
27, 225.97, 226.8,,Intermediate axis rotation
28, 231.91,232.79,,Intermediate axis rotation
29, 238.2,239.06,,Intermediate axis rotation
30, 244.93,245.78,,Intermediate axis rotation
31, 253.8,254.6,,Intermediate axis rotation
32, 259.9,260.6,,Intermediate axis rotation
33, 265.71,266.55,,Intermediate axis rotation
34, 270.9, 271.63,,Intermediate axis rotation
35, 276.88, 277.73,,Intermediate axis rotation
36, 281.57, 282.4,,Intermediate axis rotation
37, 286.74,287.63,,Intermediate axis rotation
38, 293.18, 293.98,,Intermediate axis rotation
39, 300.76, 301.48,,Intermediate axis rotation
40, 307.5,308.3,false,not a trial
41, 308.84, 309.61,,Intermediate axis rotation
42, 314.35, 315.05,,Intermediate axis rotation
43, 319.32, 320.08,,Intermediate axis rotation
44, 324.63,325.4,,Intermediate axis rotation
45, 330.5,331.3,,Intermediate axis rotation
46, 335.54, 336.32,,Intermediate axis rotation
47, 342.7, 343.65,,Intermediate axis rotation
48, 351.38, 352.17,,Intermediate axis rotation
49, 358.3, 359.12,,Intermediate axis rotation
50, 365.17, 365.97,,Intermediate axis rotation
51, 370.27, 371.13,,Intermediate axis rotation
52, 375.85, 376.6,,Intermediate axis rotation
