"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.968616666E-2,1.766970754E-1,3.274505492E-3,2.057030648E-1,2.711942656E-1
3.970416667E-2,1.293745637E-1,-3.094525263E-2,2.030870318E-1,2.427750582E-1
4.972316667E-2,8.655266464E-2,-1.017193347E-1,2.008577287E-1,2.412094816E-1
5.974216667E-2,4.497752711E-2,-1.852714717E-1,1.925819665E-1,2.709913468E-1
6.976016666E-2,7.787548471E-3,-2.712607682E-1,1.769636720E-1,3.239740599E-1
7.977916666E-2,-2.607933991E-2,-3.389024138E-1,1.626901925E-1,3.768329561E-1
8.979816666E-2,-4.811877385E-2,-3.635363281E-1,1.426170468E-1,3.934637217E-1
9.981616666E-2,-6.867438555E-2,-3.333312869E-1,1.243134215E-1,3.623254681E-1
1.098351667E-1,-8.909804374E-2,-2.574560046E-1,1.096769348E-1,2.936853516E-1
1.198541667E-1,-1.072272509E-1,-1.562239230E-1,9.906264395E-2,2.138153523E-1
1.298721667E-1,-1.211436242E-1,-5.635013804E-2,9.122540802E-2,1.617813055E-1
1.398911667E-1,-1.295629442E-1,1.388674136E-2,8.596859127E-2,1.561089260E-1
1.499101667E-1,-1.377744079E-1,3.633670136E-2,8.218633384E-2,1.644893212E-1
1.599291667E-1,-1.462294012E-1,2.408216521E-2,8.091254532E-2,1.688485370E-1
1.699471667E-1,-1.565007418E-1,6.675409619E-3,7.706584781E-2,1.745743056E-1
1.799661667E-1,-1.672583222E-1,6.264217664E-3,7.513479143E-2,1.834661377E-1
1.899851667E-1,-1.807811558E-1,2.631989680E-2,6.999295205E-2,1.956363376E-1
2.000031667E-1,-1.931320876E-1,5.840353295E-2,6.767520308E-2,2.128166089E-1
2.100221667E-1,-2.115064859E-1,1.035541147E-1,6.574191153E-2,2.445004033E-1
2.200411667E-1,-2.336543947E-1,1.518060565E-1,7.052415609E-2,2.874249668E-1
2.300591667E-1,-2.505401969E-1,1.982488483E-1,7.115481049E-2,3.273163656E-1
2.400781667E-1,-2.667655051E-1,2.443247288E-1,7.163204998E-2,3.687676211E-1
2.500971667E-1,-2.778266966E-1,2.802332044E-1,7.019389421E-2,4.008060690E-1
2.601151667E-1,-2.942466736E-1,3.007541895E-1,7.443790138E-2,4.272881798E-1
2.701341667E-1,-3.075726032E-1,3.067974448E-1,7.282818109E-2,4.404878232E-1
2.801527083E-1,-3.149375916E-1,3.129573464E-1,6.814261526E-2,4.491897186E-1
2.901707083E-1,-3.204351664E-1,3.144418597E-1,5.796469375E-2,4.526723812E-1
3.001897083E-1,-3.241963685E-1,3.010107279E-1,5.242452025E-2,4.454874566E-1
3.102087083E-1,-3.326148391E-1,2.747110426E-1,4.327803105E-2,4.335571198E-1
3.202267083E-1,-3.463903069E-1,2.325580120E-1,2.952147089E-2,4.182594780E-1
3.302457083E-1,-3.655718267E-1,1.918946803E-1,2.182688192E-2,4.134522240E-1
3.402647083E-1,-4.003873169E-1,1.509379148E-1,1.581506245E-2,4.281849763E-1
3.502837083E-1,-4.376315176E-1,1.102272943E-1,1.462843176E-2,4.515367013E-1
3.603017083E-1,-4.778348505E-1,4.597586766E-2,1.553204283E-2,4.802927952E-1
3.703207083E-1,-5.191497803E-1,-2.696635574E-2,1.148415729E-2,5.199765039E-1
3.803397083E-1,-5.574691892E-1,-1.000051424E-1,5.444107577E-3,5.663943535E-1
3.903577083E-1,-5.913232565E-1,-1.785313189E-1,9.026465705E-4,6.176871702E-1
4.003767083E-1,-6.240242124E-1,-2.632576525E-1,-7.141164970E-3,6.773195741E-1
4.103957083E-1,-6.528300643E-1,-3.493717313E-1,-5.363229662E-3,7.404569290E-1
4.204137083E-1,-6.824241877E-1,-4.282992780E-1,-7.491362281E-3,8.057289643E-1
4.304327083E-1,-7.175024152E-1,-5.134963989E-1,-2.108048880E-3,8.823223398E-1
4.404517083E-1,-7.397398353E-1,-5.975499749E-1,-5.661585601E-5,9.509369062E-1
4.504697083E-1,-7.499101758E-1,-6.453738809E-1,-1.758494065E-3,9.893815291E-1
4.604887083E-1,-7.545046806E-1,-6.322783232E-1,-8.823860437E-3,9.844445396E-1
4.705077083E-1,-7.551761866E-1,-5.661585331E-1,-1.242450904E-2,9.439178597E-1
4.805257083E-1,-7.518834472E-1,-4.758630097E-1,-2.051226236E-2,8.900534113E-1
4.905447083E-1,-7.445442677E-1,-3.839543164E-1,-2.381471172E-2,8.380538312E-1
5.005637083E-1,-7.367566824E-1,-3.046829104E-1,-2.213052846E-2,7.975787392E-1
