"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.737685617282754E9,"2025-01-23 18:26:57.283 UTC-08:00"
"PAUSE",2.325642991666973E1,1.737685640539692E9,"2025-01-23 18:27:20.540 UTC-08:00"
"START",2.325642991666973E1,1.737685640975377E9,"2025-01-23 18:27:20.975 UTC-08:00"
"PAUSE",4.089171612499922E1,1.737685658611049E9,"2025-01-23 18:27:38.611 UTC-08:00"
"START",4.089171612499922E1,1.737685659966818E9,"2025-01-23 18:27:39.967 UTC-08:00"
"PAUSE",6.106979520832829E1,1.737685680145338E9,"2025-01-23 18:28:00.145 UTC-08:00"
"START",6.106979520832829E1,1.737685680950505E9,"2025-01-23 18:28:00.951 UTC-08:00"
"PAUSE",8.939608791665523E1,1.737685709277418E9,"2025-01-23 18:28:29.277 UTC-08:00"
"START",8.939608791665523E1,1.737685710601449E9,"2025-01-23 18:28:30.601 UTC-08:00"
"PAUSE",1.008939122916490E2,1.737685722099525E9,"2025-01-23 18:28:42.100 UTC-08:00"
