"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
7.058666662E-3,2.530389652E-2,8.967717737E-2,-6.176201999E-2,1.117892232E-1
1.707966666E-2,2.784099989E-2,1.026266441E-1,-6.195485592E-2,1.230680849E-1
2.709966667E-2,3.150470927E-2,1.267040223E-1,-5.545993894E-2,1.418529548E-1
3.711966667E-2,3.592580557E-2,1.448453367E-1,-5.446838588E-2,1.588635897E-1
4.714066666E-2,4.145372659E-2,1.473226100E-1,-5.435759947E-2,1.624103183E-1
5.716066666E-2,4.567006975E-2,1.471546143E-1,-4.840916023E-2,1.615044352E-1
6.718066667E-2,4.695983976E-2,1.516193897E-1,-5.026857927E-2,1.664950328E-1
7.720066667E-2,4.894905910E-2,1.706136018E-1,-4.442084208E-2,1.829705515E-1
8.722166667E-2,5.489270389E-2,1.900152713E-1,-3.966123983E-2,2.017226468E-1
9.724166666E-2,5.656177551E-2,1.914707869E-1,-3.976748511E-2,2.035724676E-1
1.072616667E-1,6.170327216E-2,1.612710804E-1,-3.272023052E-2,1.757448965E-1
1.172816667E-1,6.535526365E-2,1.081256643E-1,-3.397383913E-2,1.308307743E-1
1.273026667E-1,5.933704972E-2,6.692709774E-2,-3.602580354E-2,9.642603591E-2
1.373226667E-1,6.106298044E-2,4.217387363E-2,-3.654986992E-2,8.272373414E-2
1.473426667E-1,6.402947754E-2,3.435776010E-2,-3.197482601E-2,7.938903684E-2
1.573636667E-1,6.516481936E-2,5.397237465E-2,-3.031306341E-2,8.987965688E-2
1.673836667E-1,7.002722472E-2,8.790344745E-2,-2.715322375E-2,1.156206116E-1
1.774036667E-1,7.611059397E-2,1.192038208E-1,-2.330210805E-2,1.433365329E-1
1.874236667E-1,7.865311205E-2,1.294657737E-1,-1.978646964E-2,1.527717349E-1
1.974446667E-1,7.900907099E-2,1.243911609E-1,-1.746270433E-2,1.483931948E-1
2.074646667E-1,8.108633757E-2,1.142557040E-1,-1.864834316E-2,1.413404427E-1
