segment,start,end,keep,comment
0,7.74,8.69,,Intermediate axis rotation
1,14.29,15.13,,Intermediate axis rotation
2,22.54,23.34,,Intermediate axis rotation
3,32.82,33.71,,Intermediate axis rotation
4,43.37,44.30,,Intermediate axis rotation
5,68.97,69.81,,Intermediate axis rotation
6,77.55,78.38,,Intermediate axis rotation
7,84.22,85.10,,Intermediate axis rotation
8,93.46,94.35,,Intermediate axis rotation
9,101.60,102.52,,Intermediate axis rotation
10,113.82,114.78,,Intermediate axis rotation
11,121.90,122.80,,Intermediate axis rotation
12,143.47,144.34,,Intermediate axis rotation
13,162.14,162.76,,Intermediate axis rotation
14,171.20,171.72,,Intermediate axis rotation
15,181.68,182.52,,Intermediate axis rotation
16,191.98,192.50,,Intermediate axis rotation
17,199.60,200.20,,Intermediate axis rotation
18,206.73,207.62,,Intermediate axis rotation
19,215.91,216.84,,Intermediate axis rotation
20,223.99,224.90,,Intermediate axis rotation
21,230.26,231.18,,Intermediate axis rotation
22,237.29,238.16,,Intermediate axis rotation
23,244.01,244.91,,Intermediate axis rotation
24,250.04,250.88,,Intermediate axis rotation
25,257.58,258.45,,Intermediate axis rotation
26,264.21,265.10,,Intermediate axis rotation
27,272.52,273.37,,Intermediate axis rotation
28,,,false,random noise
29,281.71,282.54,,Intermediate axis rotation
30,288.79,289.69,,Intermediate axis rotation
31,301.58,302.43,,Intermediate axis rotation
32,306.67,307.41,,Intermediate axis rotation
