"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.739556599285284E9,"2025-02-14 10:09:59.285 UTC-08:00"
"PAUSE",1.167447037500096E1,1.739556610959493E9,"2025-02-14 10:10:10.959 UTC-08:00"
"START",1.167447037500096E1,1.739556619118879E9,"2025-02-14 10:10:19.119 UTC-08:00"
"PAUSE",1.892420108333499E1,1.739556626368447E9,"2025-02-14 10:10:26.368 UTC-08:00"
"START",1.892420108333499E1,1.739556630547383E9,"2025-02-14 10:10:30.547 UTC-08:00"
"PAUSE",2.850002816666893E1,1.739556640122995E9,"2025-02-14 10:10:40.123 UTC-08:00"
"START",2.850002816666893E1,1.739556646310066E9,"2025-02-14 10:10:46.310 UTC-08:00"
"PAUSE",3.716802120833563E1,1.739556654977864E9,"2025-02-14 10:10:54.978 UTC-08:00"
"START",3.716802120833563E1,1.739556820325414E9,"2025-02-14 10:13:40.325 UTC-08:00"
"PAUSE",4.710854929166817E1,1.739556830265722E9,"2025-02-14 10:13:50.266 UTC-08:00"
"START",4.710854929166817E1,1.739557846460369E9,"2025-02-14 10:30:46.460 UTC-08:00"
"PAUSE",7.380993337500149E1,1.739557873161349E9,"2025-02-14 10:31:13.161 UTC-08:00"
"START",7.380993337500149E1,1.739557876633234E9,"2025-02-14 10:31:16.633 UTC-08:00"
"PAUSE",8.209018341666888E1,1.739557884913359E9,"2025-02-14 10:31:24.913 UTC-08:00"
"START",8.209018341666888E1,1.739557886040619E9,"2025-02-14 10:31:26.041 UTC-08:00"
"PAUSE",8.985133962500186E1,1.739557893801658E9,"2025-02-14 10:31:33.802 UTC-08:00"
"START",8.985133962500186E1,1.739557894881363E9,"2025-02-14 10:31:34.881 UTC-08:00"
"PAUSE",9.824514333333536E1,1.739557903275039E9,"2025-02-14 10:31:43.275 UTC-08:00"
"START",9.824514333333536E1,1.739557904665592E9,"2025-02-14 10:31:44.666 UTC-08:00"
