"event","experiment time","system time","system time text"
"PAUSE",1.090447200416693E2,1.739557915465005E9,"2025-02-14 10:31:55.465 UTC-08:00"
"START",1.090447200416693E2,1.739558100983061E9,"2025-02-14 10:35:00.983 UTC-08:00"
"PAUSE",1.180695376666699E2,1.739558110007741E9,"2025-02-14 10:35:10.008 UTC-08:00"
"START",1.180695376666699E2,1.739558114166448E9,"2025-02-14 10:35:14.166 UTC-08:00"
"PAUSE",1.246097762916688E2,1.739558120706587E9,"2025-02-14 10:35:20.707 UTC-08:00"
"START",1.246097762916688E2,1.739558127102456E9,"2025-02-14 10:35:27.102 UTC-08:00"
"PAUSE",1.482246954583370E2,1.739558150717018E9,"2025-02-14 10:35:50.717 UTC-08:00"
"START",1.482246954583370E2,1.739558214354553E9,"2025-02-14 10:36:54.355 UTC-08:00"
"PAUSE",1.677450334583355E2,1.739558233874596E9,"2025-02-14 10:37:13.875 UTC-08:00"
"START",1.677450334583355E2,1.739558240545159E9,"2025-02-14 10:37:20.545 UTC-08:00"
"PAUSE",1.757766237916694E2,1.739558248576628E9,"2025-02-14 10:37:28.577 UTC-08:00"
"START",1.757766237916694E2,1.739558351399217E9,"2025-02-14 10:39:11.399 UTC-08:00"
"PAUSE",1.890643975833354E2,1.739558364686609E9,"2025-02-14 10:39:24.687 UTC-08:00"
"START",1.890643975833354E2,1.739558371505783E9,"2025-02-14 10:39:31.506 UTC-08:00"
"PAUSE",1.964983684583349E2,1.739558378939598E9,"2025-02-14 10:39:38.940 UTC-08:00"
"START",1.964983684583349E2,1.739558384349434E9,"2025-02-14 10:39:44.349 UTC-08:00"
"PAUSE",2.044129801666695E2,1.739558392263896E9,"2025-02-14 10:39:52.264 UTC-08:00"
"START",2.044129801666695E2,1.739558397206294E9,"2025-02-14 10:39:57.206 UTC-08:00"
"PAUSE",2.142195179166702E2,1.739558407012656E9,"2025-02-14 10:40:07.013 UTC-08:00"
"START",2.142195179166702E2,1.739558409818071E9,"2025-02-14 10:40:09.818 UTC-08:00"
"PAUSE",2.215711330833365E2,1.739558417169557E9,"2025-02-14 10:40:17.170 UTC-08:00"
"START",2.215711330833365E2,1.739558418704404E9,"2025-02-14 10:40:18.704 UTC-08:00"
"PAUSE",2.285283462500029E2,1.739558425661496E9,"2025-02-14 10:40:25.661 UTC-08:00"
"START",2.285283462500029E2,1.739558429451156E9,"2025-02-14 10:40:29.451 UTC-08:00"
"PAUSE",2.351933802500025E2,1.739558436116074E9,"2025-02-14 10:40:36.116 UTC-08:00"
"START",2.351933802500025E2,1.739558437670178E9,"2025-02-14 10:40:37.670 UTC-08:00"
"PAUSE",2.421128074583376E2,1.739558444589485E9,"2025-02-14 10:40:44.589 UTC-08:00"
"START",2.421128074583376E2,1.739558448899614E9,"2025-02-14 10:40:48.900 UTC-08:00"
"PAUSE",2.485585092083384E2,1.739558455345204E9,"2025-02-14 10:40:55.345 UTC-08:00"
"START",2.485585092083384E2,1.739558460900356E9,"2025-02-14 10:41:00.900 UTC-08:00"
"PAUSE",2.561171092916702E2,1.739558468458826E9,"2025-02-14 10:41:08.459 UTC-08:00"
"START",2.561171092916702E2,1.739558469982208E9,"2025-02-14 10:41:09.982 UTC-08:00"
"PAUSE",2.614850891250026E2,1.739558475350095E9,"2025-02-14 10:41:15.350 UTC-08:00"
"START",2.614850891250026E2,1.739558483682991E9,"2025-02-14 10:41:23.683 UTC-08:00"
"PAUSE",2.696556202083375E2,1.739558491853380E9,"2025-02-14 10:41:31.853 UTC-08:00"
"START",2.696556202083375E2,1.739558653099862E9,"2025-02-14 10:44:13.100 UTC-08:00"
"PAUSE",2.757813268750033E2,1.739558659225462E9,"2025-02-14 10:44:19.225 UTC-08:00"
"START",2.757813268750033E2,1.739558776585977E9,"2025-02-14 10:46:16.586 UTC-08:00"
"PAUSE",2.781675597500034E2,1.739558778972168E9,"2025-02-14 10:46:18.972 UTC-08:00"
"START",2.781675597500034E2,1.739558785583584E9,"2025-02-14 10:46:25.584 UTC-08:00"
"PAUSE",2.864390008750052E2,1.739558793854882E9,"2025-02-14 10:46:33.855 UTC-08:00"
"START",2.864390008750052E2,1.739558796846759E9,"2025-02-14 10:46:36.847 UTC-08:00"
"PAUSE",2.936498012083393E2,1.739558804057435E9,"2025-02-14 10:46:44.057 UTC-08:00"
"START",2.936498012083393E2,1.739558807815896E9,"2025-02-14 10:46:47.816 UTC-08:00"
"PAUSE",3.066739458750053E2,1.739558820839816E9,"2025-02-14 10:47:00.840 UTC-08:00"
"START",3.066739458750053E2,1.739558825369317E9,"2025-02-14 10:47:05.369 UTC-08:00"
"PAUSE",3.121714574583384E2,1.739558830866734E9,"2025-02-14 10:47:10.867 UTC-08:00"
