"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.860307500E-1,-2.082378119E-1,-2.705779374E-1,3.288309574E-1,4.740308060E-1
5.960497500E-1,-1.919328719E-1,-2.423827946E-1,3.275712729E-1,4.504337745E-1
6.060687500E-1,-1.690084040E-1,-1.452757716E-1,3.341620564E-1,4.016630060E-1
6.160877500E-1,-1.421690732E-1,-4.251166247E-4,3.487484455E-1,3.766134681E-1
6.261067500E-1,-1.181935146E-1,1.516534090E-1,3.457359374E-1,3.956030861E-1
6.361257500E-1,-1.092426330E-1,2.558093667E-1,3.428176343E-1,4.414706280E-1
6.461447500E-1,-1.016912460E-1,2.854684889E-1,3.384309709E-1,4.542784276E-1
6.561637500E-1,-8.902791888E-2,2.546735406E-1,3.363121450E-1,4.311501380E-1
6.661827500E-1,-8.642233163E-2,1.937859356E-1,3.362190127E-1,3.975739337E-1
6.762017500E-1,-9.611916542E-2,1.143430322E-1,3.361966312E-1,3.678877516E-1
6.862207500E-1,-1.204734743E-1,-8.088804781E-3,3.237331808E-1,3.455176683E-1
6.962397500E-1,-1.533150375E-1,-1.878732145E-1,2.992094755E-1,3.851339451E-1
7.062587500E-1,-1.932976544E-1,-4.605226517E-1,2.806120217E-1,5.728771270E-1
7.162777500E-1,-2.044302076E-1,-7.183040977E-1,2.762084901E-1,7.962685580E-1
7.262967500E-1,-1.126419455E-1,-7.844048738E-1,2.842022777E-1,8.418730003E-1
7.363167500E-1,4.678872973E-2,-7.284233570E-1,2.605747283E-1,7.750412642E-1
7.463357500E-1,2.175845951E-1,-6.606900096E-1,1.805324107E-1,7.186419805E-1
7.563547500E-1,3.938682675E-1,-5.381926298E-1,8.331637830E-2,6.721050051E-1
7.663737500E-1,5.517032743E-1,-3.296311796E-1,2.373308409E-3,6.426809861E-1
7.763927500E-1,6.601946354E-1,-8.335962147E-2,-6.132497638E-2,6.682563399E-1
7.864117500E-1,7.063386440E-1,1.213013530E-1,-1.108151376E-1,7.251953482E-1
7.964307500E-1,6.823933721E-1,2.018481344E-1,-1.413038075E-1,7.255137143E-1
8.064497500E-1,5.929763913E-1,2.115297467E-1,-1.515851617E-1,6.475676765E-1
8.164687500E-1,4.701921344E-1,1.655942202E-1,-1.329643428E-1,5.159279072E-1
8.264877500E-1,3.412751555E-1,5.870879441E-2,-1.085100248E-1,3.628910027E-1
8.365067500E-1,2.085091025E-1,-2.763115056E-2,-7.476138324E-2,2.232236339E-1
8.465257500E-1,9.876119345E-2,-4.545759410E-2,-2.954596281E-2,1.126637924E-1
8.565447500E-1,1.304456964E-5,-7.610612083E-3,-3.490393749E-3,8.372839122E-3
8.665637500E-1,-9.046470374E-2,5.633998662E-2,1.568455249E-2,1.077221514E-1
8.765827500E-1,-1.319807172E-1,1.390220821E-1,3.168482333E-2,1.942935332E-1
8.866017500E-1,-1.571701765E-1,7.818911225E-2,3.419471532E-2,1.788442904E-1
8.966207500E-1,-2.189046592E-1,-5.809336528E-2,2.613678947E-2,2.279851325E-1
9.066397500E-1,-2.694002092E-1,-1.681863964E-1,2.016815543E-2,3.182293059E-1
9.166587500E-1,-2.816547453E-1,-1.873739362E-1,3.992241994E-2,3.406349764E-1
9.266777500E-1,-2.791727483E-1,-1.842793375E-1,6.944885850E-2,3.416422714E-1
9.366967500E-1,-2.709875405E-1,-2.174506038E-1,8.858393878E-2,3.585611892E-1
9.467157500E-1,-2.466191202E-1,-2.271812856E-1,8.408892900E-2,3.456924572E-1
9.567347500E-1,-2.151152492E-1,-2.328892350E-1,7.412098348E-2,3.255854518E-1
9.667537500E-1,-2.022964358E-1,-2.599759102E-1,9.871008992E-2,3.438822526E-1
9.767727500E-1,-1.978228539E-1,-2.469631881E-1,1.125585288E-1,3.358483589E-1
9.867917500E-1,-1.925037503E-1,-2.202091515E-1,1.021594182E-1,3.098165764E-1
9.968107500E-1,-1.847235858E-1,-2.188064754E-1,6.265541166E-2,2.931292845E-1
1.006829750E0,-1.701048315E-1,-2.720339894E-1,1.388236997E-4,3.208397799E-1
1.016848750E0,-1.450974792E-1,-3.333450258E-1,-6.204465404E-2,3.688112306E-1
1.026867750E0,-8.732561022E-2,-3.405759931E-1,-1.142687947E-1,3.696959922E-1
1.036886750E0,-6.553996354E-5,-2.686240375E-1,-1.590202898E-1,3.121639479E-1
1.046905750E0,7.924333215E-2,-2.175893635E-1,-2.297176570E-1,3.261822170E-1
1.056924750E0,1.605195552E-1,-1.572876722E-1,-2.801808119E-1,3.591757603E-1
1.066944750E0,2.194730788E-1,-8.874934912E-2,-2.778960168E-1,3.650631116E-1
1.076963750E0,2.252308279E-1,-3.559691459E-2,-2.417891622E-1,3.323523208E-1
1.086982750E0,2.223456651E-1,-1.577229053E-2,-1.830437332E-1,2.884291390E-1
1.097001750E0,2.324845940E-1,-4.334532842E-2,-1.243393943E-1,2.671856824E-1
1.107020750E0,2.408324778E-1,-8.072973788E-2,-6.374727935E-2,2.618802944E-1
1.117039750E0,2.635841370E-1,-6.891861558E-2,6.067748647E-3,2.725127344E-1
1.127058750E0,3.083994687E-1,1.266382355E-2,6.047243625E-2,3.145274555E-1
1.137077750E0,3.496411741E-1,1.134618074E-1,9.040104598E-2,3.785431038E-1
1.147096750E0,3.755854964E-1,2.430528551E-1,8.078353107E-2,4.546043713E-1
1.157115750E0,3.675984144E-1,2.733172774E-1,4.281910509E-2,4.600699992E-1
1.167134750E0,3.123237491E-1,2.037440687E-1,-4.319353029E-3,3.729295196E-1
1.177153750E0,2.257292122E-1,1.312546879E-1,-5.472340435E-2,2.667885329E-1
1.187172750E0,1.739134490E-1,1.170280427E-1,-8.391834795E-2,2.257957919E-1
1.197191750E0,1.350680441E-1,1.224441081E-1,-1.102077439E-1,2.130297701E-1
1.207210750E0,8.960267529E-3,2.215383053E-1,-1.222059429E-1,2.531675326E-1
1.217229750E0,-7.580202073E-2,1.756312549E-1,-6.660975050E-3,1.914070339E-1
1.227249583E0,-1.024019718E-1,1.702255011E-1,2.639974058E-1,3.303899443E-1
1.237268583E0,-8.768321574E-2,1.833612770E-1,3.172952533E-1,3.768102732E-1
1.247287583E0,-6.335896999E-2,1.049213484E-1,3.675816953E-1,3.874779364E-1
1.257306583E0,8.196435869E-3,-4.970365390E-2,3.649166524E-1,3.683772496E-1
1.267325583E0,1.037569568E-1,-1.083963662E-1,3.408735096E-1,3.724379517E-1
1.277344583E0,1.615808457E-1,-2.780245431E-2,3.285374939E-1,3.671760219E-1
1.287363583E0,1.860395521E-1,7.106611878E-2,2.745781541E-1,3.391965078E-1
1.297382583E0,2.083773464E-1,8.814150840E-2,2.070595622E-1,3.066980703E-1
1.307401583E0,2.529832721E-1,3.370579705E-2,1.656973511E-1,3.042897121E-1
1.317420583E0,2.987009585E-1,-6.745753810E-3,1.387970299E-1,3.294425341E-1
1.327439583E0,3.489055932E-1,-1.658918895E-2,1.561922431E-1,3.826308024E-1
1.337458583E0,3.734479547E-1,5.170518160E-2,1.821506023E-1,4.187071083E-1
1.347477583E0,4.058893621E-1,8.383121341E-2,2.155294269E-1,4.671474933E-1
1.357496583E0,4.278354049E-1,6.839499623E-2,2.361305654E-1,4.934355612E-1
1.367515583E0,4.165878594E-1,7.618827512E-4,2.112621665E-1,4.670949883E-1
1.377534583E0,3.694214225E-1,-1.024864763E-1,1.545735896E-1,4.133626251E-1
1.387554583E0,3.002745211E-1,-1.824790239E-1,8.680952340E-2,3.619382206E-1
1.397573583E0,2.475708127E-1,-2.896875143E-1,2.540368959E-2,3.819103438E-1
1.407592583E0,2.041163892E-1,-3.700048029E-1,-2.222643234E-4,4.225720103E-1
1.417611583E0,1.508710086E-1,-3.532937169E-1,1.086687203E-2,3.843131543E-1
1.427630583E0,1.026044488E-1,-3.174062371E-1,4.204456508E-2,3.362173965E-1
1.437649583E0,3.322803974E-2,-2.302740067E-1,7.924678922E-2,2.457850166E-1
1.447668583E0,-5.222805589E-2,-1.316322833E-1,1.029405966E-1,1.750759672E-1
1.457687583E0,-1.357732862E-1,-1.786656864E-2,1.200838909E-1,1.821365981E-1
1.467706583E0,-2.322727442E-1,5.745524913E-2,1.212832406E-1,2.682561421E-1
1.477725583E0,-4.119186699E-1,2.375704348E-1,8.981666714E-2,4.839253412E-1
