"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.875404583E-1,-2.369611412E-1,-4.942314029E-1,5.449454784E-1,7.729041574E-1
5.975594583E-1,-1.871994138E-1,-4.015177786E-1,5.676059127E-1,7.200254295E-1
6.075794583E-1,-1.412689388E-1,-3.369880617E-1,5.722758174E-1,6.789826787E-1
6.175994583E-1,-1.120019555E-1,-3.081201613E-1,5.621458888E-1,6.507614556E-1
6.276194583E-1,-9.814180434E-2,-2.780463994E-1,5.532488227E-1,6.269177568E-1
6.376384583E-1,-9.871836752E-2,-2.539552748E-1,5.364426374E-1,6.016720876E-1
6.476584583E-1,-1.121928990E-1,-2.360593677E-1,5.083510876E-1,5.716048459E-1
6.576784583E-1,-1.248955876E-1,-2.478938103E-1,4.822562635E-1,5.564362970E-1
6.676984583E-1,-1.453204304E-1,-2.364539355E-1,4.758393764E-1,5.508644146E-1
6.777174583E-1,-1.648451239E-1,-1.958792508E-1,4.672091007E-1,5.327541080E-1
6.877374583E-1,-1.714018285E-1,-1.561608613E-1,4.610635936E-1,5.160856894E-1
6.977574583E-1,-1.710707098E-1,-1.009775251E-1,4.689164162E-1,5.092585333E-1
7.077774583E-1,-1.671593189E-1,-3.860576078E-2,4.821174443E-1,5.117322276E-1
7.177964583E-1,-1.652876884E-1,-8.323661052E-3,4.966977537E-1,5.235436579E-1
7.278164583E-1,-1.857916415E-1,1.226976514E-2,5.100790262E-1,5.430006392E-1
7.378364583E-1,-2.226167917E-1,1.761475764E-2,5.236350298E-1,5.692645783E-1
7.478564583E-1,-2.651120722E-1,-1.449213596E-3,5.348884463E-1,5.969858969E-1
7.578754583E-1,-3.091491759E-1,-3.701218963E-2,5.387768745E-1,6.222729591E-1
7.678954583E-1,-3.497821093E-1,-5.352964625E-2,5.446994901E-1,6.495463659E-1
7.779154583E-1,-3.884151280E-1,-3.701367229E-2,5.596417785E-1,6.822281464E-1
7.879354583E-1,-4.119231105E-1,2.359833568E-3,5.663846135E-1,7.003411656E-1
7.979544583E-1,-4.185087383E-1,3.172779083E-2,5.833671093E-1,7.186608386E-1
8.079744583E-1,-4.020208418E-1,6.577710062E-2,6.134911776E-1,7.364229825E-1
8.179944583E-1,-3.860657215E-1,1.262806207E-1,6.464273334E-1,7.634538845E-1
8.280144583E-1,-3.582212925E-1,1.121080667E-1,6.673006415E-1,7.656244897E-1
8.380335833E-1,-3.271516860E-1,2.699222043E-2,6.741412878E-1,7.498154983E-1
8.480535833E-1,-2.801974714E-1,-8.049322665E-2,6.818963885E-1,7.416012859E-1
8.580735833E-1,-2.178639174E-1,-1.749778688E-1,6.885894537E-1,7.431267569E-1
8.680935833E-1,-1.415451765E-1,-2.623599172E-1,6.965243816E-1,7.576371013E-1
8.781125833E-1,-7.042236626E-2,-3.406812549E-1,6.892468333E-1,7.720649094E-1
8.881325833E-1,-8.400808088E-3,-4.086549878E-1,6.782596707E-1,7.919000275E-1
8.981525833E-1,4.816035926E-2,-4.705076218E-1,6.708282828E-1,8.207968247E-1
9.081725833E-1,1.029873863E-1,-5.128169656E-1,6.645096540E-1,8.456717580E-1
9.181915833E-1,1.524690092E-1,-5.209545493E-1,6.653621197E-1,8.586892287E-1
9.282115833E-1,1.975512654E-1,-4.935407639E-1,6.731369495E-1,8.577425843E-1
9.382315833E-1,2.374016047E-1,-4.477484226E-1,6.846535802E-1,8.518149428E-1
9.482515833E-1,2.672074437E-1,-3.869963884E-1,7.111344337E-1,8.525715252E-1
9.582705833E-1,2.608675361E-1,-2.983262241E-1,7.564445734E-1,8.539665099E-1
9.682905833E-1,2.306925952E-1,-2.350689620E-1,8.137310147E-1,8.778579923E-1
9.783105833E-1,1.739183217E-1,-2.375928909E-1,8.649961948E-1,9.137375890E-1
9.883305833E-1,1.011788622E-1,-2.954136133E-1,9.087093472E-1,9.608636963E-1
9.983495833E-1,2.850783616E-2,-3.595612943E-1,9.469884038E-1,1.013352879E0
1.008369583E0,-4.591127113E-2,-3.798002303E-1,9.845557809E-1,1.056269921E0
1.018389583E0,-1.113250852E-1,-3.567002118E-1,1.015310049E0,1.081888539E0
1.028409583E0,-1.539748162E-1,-3.332404196E-1,1.047030926E0,1.109518445E0
1.038428583E0,-1.831505597E-1,-3.165484667E-1,1.063097358E0,1.124243324E0
1.048448583E0,-2.078473866E-1,-2.805134952E-1,1.084713221E0,1.139513549E0
1.058468583E0,-2.122090310E-1,-2.522433698E-1,1.107052922E0,1.155086821E0
1.068488583E0,-2.025028765E-1,-2.170971036E-1,1.130134225E0,1.168478469E0
1.078507583E0,-1.890871078E-1,-1.685181260E-1,1.149961352E0,1.177524269E0
1.088527583E0,-1.450807601E-1,-1.279379427E-1,1.158694148E0,1.174729191E0
1.098547583E0,-9.036616981E-2,-1.121156812E-1,1.158917189E0,1.167829192E0
1.108567583E0,-2.903357148E-2,-1.261430830E-1,1.151783586E0,1.159034276E0
1.118586583E0,2.642035671E-2,-1.588209718E-1,1.137334704E0,1.148674178E0
1.128606583E0,8.572708815E-2,-2.251627147E-1,1.138005018E0,1.163229471E0
1.138626583E0,1.453397721E-1,-2.903537750E-1,1.154053926E0,1.198861722E0
1.148646583E0,2.030752450E-1,-3.276265860E-1,1.178791285E0,1.240212735E0
1.158665583E0,2.691297233E-1,-3.494612277E-1,1.215040922E0,1.292624617E0
