"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
-1.786249923E-4,-3.166353330E-2,2.223244160E-1,-1.592580378E-1,2.753068250E-1
9.855374985E-3,-1.993931830E-2,2.116170377E-1,-1.525866687E-1,2.616525148E-1
1.989037500E-2,-2.020483650E-2,1.650601923E-1,-1.580679864E-1,2.294310154E-1
2.992537498E-2,-2.168939635E-2,1.059628204E-1,-1.752181649E-1,2.059124924E-1
3.995937499E-2,-2.612107201E-3,3.925383091E-2,-1.804781705E-1,1.847161508E-1
4.999437500E-2,2.672556788E-2,-5.556073785E-2,-1.854656488E-1,1.954450267E-1
6.002937499E-2,5.069375411E-2,-1.582253426E-1,-1.787891090E-1,2.440710168E-1
7.006337499E-2,7.877532393E-2,-2.427124679E-1,-1.707202345E-1,3.070183907E-1
8.009837498E-2,1.128792390E-1,-2.967373729E-1,-1.739186943E-1,3.619979327E-1
9.013337499E-2,1.625680029E-1,-3.099506795E-1,-1.759691089E-1,3.917434194E-1
1.001673750E-1,2.212552875E-1,-3.037558794E-1,-1.920008063E-1,4.220021874E-1
1.102023750E-1,2.627554834E-1,-3.006377518E-1,-2.170077413E-1,4.544401629E-1
1.202373750E-1,2.786470950E-1,-2.911014855E-1,-2.343031019E-1,4.661354116E-1
1.302713750E-1,2.846233845E-1,-2.672041059E-1,-2.293985784E-1,4.528048288E-1
1.403063750E-1,2.963000238E-1,-2.199963778E-1,-2.056778073E-1,4.224872433E-1
1.503413750E-1,3.076890707E-1,-1.823920906E-1,-1.735188961E-1,3.975528219E-1
1.603753750E-1,3.146457970E-1,-2.198481113E-1,-1.405489594E-1,4.087654335E-1
1.704103750E-1,2.937656641E-1,-3.537601829E-1,-1.398326308E-1,4.806221978E-1
1.804453750E-1,2.552246451E-1,-5.721468329E-1,-1.615176797E-1,6.469772630E-1
1.904793750E-1,2.659333646E-1,-8.169770241E-1,-2.135227025E-1,8.853044430E-1
2.005143750E-1,3.543361723E-1,-9.515739679E-1,-2.593623698E-1,1.048005715E0
2.105493750E-1,4.908896685E-1,-9.356557131E-1,-2.671939433E-1,1.089870122E0
2.205833750E-1,6.410675049E-1,-8.262716532E-1,-2.450620085E-1,1.074126519E0
2.306183750E-1,7.493372560E-1,-6.644212604E-1,-2.222688049E-1,1.025848603E0
2.406533750E-1,7.762975097E-1,-4.971172512E-1,-2.020958960E-1,9.437193100E-1
2.506873750E-1,7.159654498E-1,-4.100725353E-1,-1.732021123E-1,8.430687880E-1
2.607223750E-1,5.628662109E-1,-3.440426588E-1,-1.216656789E-1,6.708101519E-1
2.707573750E-1,3.595970869E-1,-2.936379015E-1,-3.717193007E-2,4.657413816E-1
2.807913750E-1,1.943948120E-1,-3.505067527E-1,2.890083008E-2,4.018452247E-1
2.908263750E-1,1.061026156E-1,-5.601497889E-1,4.965425655E-2,5.722683778E-1
3.008613750E-1,3.026811779E-1,-9.795744419E-1,3.415638804E-1,1.080670101E0
3.108953750E-1,4.732521772E-1,-1.262359977E0,3.377549350E-1,1.389819675E0
3.209303750E-1,6.803180575E-1,-1.519992232E0,1.821006387E-1,1.675222280E0
3.309653750E-1,9.208873510E-1,-1.619635344E0,5.551032722E-3,1.863137937E0
3.409993750E-1,1.138214588E0,-1.580700755E0,-1.104179174E-1,1.950984224E0
3.510343750E-1,1.210691690E0,-1.633519769E0,-1.841531098E-1,2.041586043E0
3.610693750E-1,1.148517251E0,-1.753016114E0,-2.384243459E-1,2.109266114E0
3.711033750E-1,1.054118276E0,-1.969665170E0,-2.942704260E-1,2.253295654E0
3.811383750E-1,1.083009839E0,-2.172557831E0,-2.770158052E-1,2.443287866E0
3.911733750E-1,1.343000412E0,-2.533175230E0,-1.473053992E-1,2.870945094E0
4.012073750E-1,1.639686704E0,-2.046286583E0,7.928060740E-2,2.623384585E0
4.112423750E-1,1.622639060E0,-1.993188739E0,2.520518005E-1,2.582496656E0
4.212773750E-1,1.802902818E0,-1.772241950E0,-1.052051261E-1,2.530290145E0
4.313113750E-1,1.654155970E0,-1.622266412E0,-2.638438344E-1,2.331864887E0
4.413463750E-1,1.690521955E0,-1.175253272E0,-1.800916791E-1,2.066765044E0
4.513803750E-1,1.895706654E0,-5.714490414E-1,2.390837669E-2,1.980108415E0
4.614153750E-1,1.927199602E0,-1.292993575E-1,4.149847925E-1,1.975608516E0
4.714503750E-1,1.772763848E0,2.337179035E-1,7.807794809E-1,1.951136161E0
4.814843750E-1,1.423639655E0,7.993267179E-1,1.010534883E0,1.920118178E0
4.915193750E-1,9.852949381E-1,1.215842247E0,9.187220335E-1,1.814697953E0
5.015543750E-1,7.312431931E-1,8.300673962E-1,3.926531971E-1,1.173841992E0
5.115883750E-1,6.151484847E-1,2.748920619E-1,-2.610032558E-1,7.225621105E-1
5.216233750E-1,5.242393613E-1,1.034233570E-1,-6.611519456E-1,8.500854039E-1
5.316583750E-1,3.502678275E-1,1.045974195E-1,-6.948408484E-1,7.851318207E-1
5.416923750E-1,3.001418523E-2,-7.442745566E-2,-5.023850799E-1,5.087544260E-1
5.517273750E-1,-3.418388367E-1,-4.940455258E-1,-2.396152467E-1,6.467999986E-1
5.617623750E-1,-6.137725711E-1,-8.119254708E-1,6.282584369E-2,1.019748413E0
5.717963750E-1,-7.161421180E-1,-8.075881600E-1,3.769185245E-1,1.143296000E0
5.818313750E-1,-6.768746376E-1,-5.861300826E-1,6.341098547E-1,1.097179592E0
5.918663750E-1,-5.477614403E-1,-2.873258591E-1,7.894983292E-1,1.002948830E0
6.019003750E-1,-4.161671996E-1,7.457640022E-2,8.313701749E-1,9.327020667E-1
6.119353750E-1,-3.677825034E-1,5.330998302E-1,8.002442718E-1,1.029490307E0
6.219703750E-1,-4.318461716E-1,1.041448355E0,7.369110584E-1,1.346901518E0
6.320043750E-1,-5.556311011E-1,1.478291988E0,6.805180311E-1,1.719644706E0
6.420393750E-1,-6.599117517E-1,1.845101953E0,6.795430779E-1,2.074045209E0
6.520743750E-1,-6.200305820E-1,2.024450541E0,7.121278644E-1,2.233822734E0
6.621083750E-1,-4.222954512E-1,1.958764315E0,7.180603147E-1,2.128544504E0
6.721433750E-1,-2.037931234E-1,1.543378234E0,5.990602970E-1,1.668059126E0
6.821783750E-1,-9.278059006E-2,6.952317357E-1,3.103166521E-1,7.669757680E-1
6.922123750E-1,3.836413845E-2,1.405303031E-1,1.922425479E-1,2.412006850E-1
7.022473750E-1,2.143335715E-2,-3.987342417E-1,7.768534869E-2,4.067965065E-1
7.122823750E-1,-1.745209843E-1,-7.265532613E-1,-3.371820226E-2,7.479800349E-1
7.223163750E-1,-4.780308306E-1,-8.851953745E-1,-1.266004741E-1,1.013958582E0
7.323513750E-1,-8.080095649E-1,-9.429432750E-1,-2.661135197E-1,1.269975544E0
7.423863750E-1,-1.022700310E0,-8.818498254E-1,-4.540213645E-1,1.424679065E0
7.524203750E-1,-1.089793444E0,-8.179893494E-1,-6.308816671E-1,1.501588493E0
7.624553750E-1,-9.981772304E-1,-7.567041516E-1,-7.743443251E-1,1.472605884E0
7.724903750E-1,-7.916166186E-1,-6.310704350E-1,-8.833422661E-1,1.343577435E0
7.825243750E-1,-5.797381997E-1,-4.577106237E-1,-8.350112438E-1,1.114826970E0
7.925593750E-1,-4.452758133E-1,-3.503604233E-1,-6.381314397E-1,8.533666917E-1
8.025943750E-1,-3.430151939E-1,-3.098521233E-1,-3.839822114E-1,6.009243714E-1
8.126283750E-1,-2.955193222E-1,-3.298885822E-1,-2.091919035E-1,4.898156785E-1
8.226633750E-1,-4.312483966E-1,-3.368809819E-1,-2.119155228E-1,5.868323137E-1
8.326983750E-1,-5.266708732E-1,-3.532800078E-1,-1.009155586E-1,6.421626917E-1
8.427323750E-1,-7.256258130E-1,-3.874286413E-1,6.592482328E-2,8.252150356E-1
8.527673750E-1,-9.821713567E-1,-5.630243421E-1,1.445696503E-1,1.141296354E0
8.628023750E-1,-1.213474870E0,-8.091081381E-1,1.252542585E-1,1.463853090E0
8.728363750E-1,-1.191658378E0,-6.725310087E-1,-6.085741147E-2,1.369690210E0
8.828709167E-1,-8.745235205E-1,-2.526195534E-2,-4.149896801E-1,9.683212219E-1
8.929059167E-1,-4.849642217E-1,8.137825727E-1,-8.503918052E-1,1.273027334E0
9.029399166E-1,-3.358397186E-1,1.529632211E0,-1.159124374E0,1.948366580E0
9.129749167E-1,-4.384890795E-1,1.883497477E0,-1.333047867E0,2.348797997E0
9.230099167E-1,-6.071448922E-1,1.925922990E0,-1.403902650E0,2.459420040E0
9.330439167E-1,-7.211110592E-1,1.733042717E0,-1.415986896E0,2.351267128E0
9.430789167E-1,-7.846620679E-1,1.392378330E0,-1.391327620E0,2.119010269E0
9.531139167E-1,-8.442952633E-1,1.237006545E0,-1.329641461E0,2.002739649E0
9.631479167E-1,-9.476024508E-1,9.688895941E-1,-1.107309818E0,1.750094993E0
9.731829167E-1,-1.120041847E0,5.496824384E-1,-8.245962262E-1,1.495527819E0
9.832179167E-1,-1.366414309E0,1.491256952E-1,-5.835388303E-1,1.493266253E0
9.932519167E-1,-1.659235716E0,-1.508902758E-1,-4.624480903E-1,1.729071795E0
1.003286917E0,-1.962651730E0,-2.597035766E-1,-3.902692497E-1,2.017859719E0
1.013321917E0,-2.210414648E0,-1.850354075E-1,-2.864865959E-1,2.236570050E0
1.023355917E0,-2.340576410E0,-1.696423441E-1,-1.629273891E-1,2.352365148E0
1.033390917E0,-2.331795931E0,-1.621028483E-1,-6.349629164E-2,2.338285991E0
1.043425917E0,-2.255212307E0,-1.442658007E-1,-9.698794037E-2,2.261902259E0
1.053459917E0,-2.220643282E0,-2.069961876E-1,-2.878515422E-1,2.248769112E0
1.063494917E0,-2.207174778E0,-3.544493020E-1,-6.134243011E-1,2.318090633E0
1.073529917E0,-2.200239420E0,-4.773210883E-1,-9.902548790E-1,2.459571843E0
1.083563917E0,-2.200649023E0,-5.174338818E-1,-1.242315650E0,2.579523622E0
1.093598917E0,-2.249983549E0,-4.402974844E-1,-1.294729948E0,2.632985660E0
1.103633917E0,-2.421246290E0,-2.426320910E-1,-1.252693534E0,2.736886008E0
1.113667917E0,-2.649160385E0,1.221178174E-1,-1.191079140E0,2.907169246E0
1.123702917E0,-2.789128065E0,5.570927262E-1,-1.111134768E0,3.053556638E0
1.133737917E0,-2.678971529E0,9.078519344E-1,-1.003558874E0,3.001368688E0
1.143771917E0,-2.306224108E0,9.208628535E-1,-9.076328278E-1,2.643946932E0
1.153806917E0,-1.789899826E0,6.711502671E-1,-8.787454963E-1,2.103895842E0
1.163841917E0,-1.270606875E0,3.948222697E-1,-9.293649793E-1,1.622974344E0
1.173875917E0,-8.816612363E-1,2.066433132E-1,-1.023666143E0,1.366718833E0
1.183910917E0,-7.082806826E-1,1.508610100E-1,-1.187737465E0,1.391093403E0
1.193944917E0,-7.608876228E-1,1.326071620E-1,-1.376984477E0,1.578803624E0
1.203979917E0,-9.365497231E-1,1.954745501E-1,-1.477396846E0,1.760124178E0
1.214014917E0,-1.237836838E0,2.683047950E-1,-1.536931038E0,1.991578398E0
1.224049917E0,-1.632720470E0,1.815728396E-1,-1.510567904E0,2.231716878E0
1.234083917E0,-2.021412373E0,4.952187091E-2,-1.391599536E0,2.454609880E0
1.244118917E0,-2.306745052E0,-1.341448873E-1,-1.248051405E0,2.626156868E0
1.254153917E0,-2.435353279E0,-4.145332873E-1,-1.116434336E0,2.710942468E0
1.264187917E0,-2.471717596E0,-8.870973587E-1,-1.041727901E0,2.825159574E0
1.274222917E0,-2.529604435E0,-1.345815659E0,-1.017467618E0,3.040618151E0
1.284256917E0,-2.717923164E0,-1.493454099E0,-1.061483622E0,3.277843644E0
1.294291917E0,-3.137949944E0,-1.248213887E0,-1.177655816E0,3.576540364E0
1.304326917E0,-3.717474461E0,-6.809294820E-1,-1.332586288E0,4.007376641E0
1.314360917E0,-4.393718719E0,-2.754428983E-1,-1.370085835E0,4.610614728E0
1.324395917E0,-4.944864750E0,-1.192172873E-3,-1.313640118E0,5.116379499E0
1.334430917E0,-5.350182533E0,-1.563937068E-1,-1.197039247E0,5.484689151E0
1.344464917E0,-5.619734287E0,-5.607265234E-1,-1.114290833E0,5.756515591E0
1.354499917E0,-5.807318687E0,-9.044588208E-1,-1.113501072E0,5.981879365E0
1.364534917E0,-5.845546246E0,-8.709786534E-1,-1.134909749E0,6.018059061E0
1.374568917E0,-5.755959511E0,-6.336420774E-1,-1.112159133E0,5.896564263E0
1.384603917E0,-5.509393215E0,-2.842665315E-1,-1.062094569E0,5.618030432E0
1.394638917E0,-5.166389465E0,1.411350258E-2,-1.065080762E0,5.275052258E0
1.404672917E0,-4.751582146E0,9.377077967E-2,-1.000282407E0,4.856633684E0
1.414707917E0,-4.308566570E0,-3.285237588E-3,-8.537494540E-1,4.392339333E0
1.424742917E0,-3.868697405E0,-2.202242017E-1,-6.124073863E-1,3.923055074E0
1.434777917E0,-3.547580481E0,-4.315352440E-1,-3.500056565E-1,3.590829137E0
1.444811917E0,-3.323256969E0,-4.616270959E-1,-1.718468666E-1,3.359563633E0
