"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.480850000E-2,-1.230574548E-1,-2.208731137E-2,4.646732807E-1,4.811987576E-1
3.482850000E-2,-1.116036326E-1,6.209081504E-3,4.615137577E-1,4.748566858E-1
4.484950000E-2,-1.026618034E-1,3.940485418E-2,4.607465267E-1,4.736871861E-1
5.486925000E-2,-9.704528749E-2,7.498259842E-2,4.562404752E-1,4.724357619E-1
6.488925000E-2,-9.387239814E-2,1.163588017E-1,4.494824409E-1,4.736938490E-1
7.490925000E-2,-8.553364128E-2,1.626311839E-1,4.418923557E-1,4.785747170E-1
8.493025000E-2,-7.524211705E-2,1.892199218E-1,4.370563328E-1,4.821657319E-1
9.495025000E-2,-6.369542331E-2,1.889591217E-1,4.242203832E-1,4.687489628E-1
1.049702500E-1,-5.516344681E-2,1.532908827E-1,4.127658606E-1,4.437530352E-1
1.149912500E-1,-4.628859460E-2,9.767896682E-2,3.978862166E-1,4.123072349E-1
1.250112500E-1,-3.646792099E-2,3.829526901E-2,3.790177107E-1,3.826889885E-1
1.350312500E-1,-2.913442254E-2,-6.440529134E-3,3.655141294E-1,3.667299739E-1
1.450522500E-1,-2.648484334E-2,-2.417957969E-2,3.493458033E-1,3.511817040E-1
1.550722500E-1,-2.153510228E-2,-1.916253939E-2,3.377878666E-1,3.390156432E-1
1.650922500E-1,-2.048395202E-2,2.703877166E-3,3.240052164E-1,3.246633387E-1
1.751122500E-1,-2.376098000E-2,4.166707397E-2,3.060771525E-1,3.098127701E-1
1.851332500E-1,-3.128467500E-2,8.621270955E-2,2.927094102E-1,3.067411955E-1
1.951532500E-1,-3.542070091E-2,1.379334629E-1,2.795811296E-1,3.137608552E-1
2.051732500E-1,-4.658680409E-2,1.795711815E-1,2.652778327E-1,3.237104696E-1
2.151942500E-1,-5.536247417E-2,2.012639642E-1,2.542347908E-1,3.289491080E-1
2.252142500E-1,-6.178309396E-2,1.939647794E-1,2.377926856E-1,3.130253148E-1
2.352342500E-1,-5.567125231E-2,1.676586419E-1,2.093640268E-1,2.739379570E-1
2.452542500E-1,-1.783998124E-2,1.838639826E-1,1.518458724E-1,2.391263222E-1
2.552752500E-1,3.221557289E-2,2.611029446E-1,9.517523646E-2,2.797693987E-1
2.652952500E-1,6.545235217E-2,3.493356109E-1,6.146467105E-2,3.606900126E-1
2.753152500E-1,7.805427909E-2,3.893857896E-1,5.709518865E-2,4.012151844E-1
