"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.292241666E-2,2.093553916E-2,-2.692854591E-2,6.532582454E-3,3.472920987E-2
4.294341667E-2,2.065510675E-2,-1.743357815E-2,7.100368850E-3,2.794598933E-2
5.296341667E-2,2.266658470E-2,-2.586596878E-3,7.451056968E-3,2.399964157E-2
6.298341668E-2,2.819690667E-2,1.459265593E-2,8.709400892E-3,3.292210226E-2
7.300341668E-2,3.218840435E-2,1.965624467E-2,8.230969310E-3,3.860324060E-2
8.302341666E-2,3.367418051E-2,2.717940882E-2,5.665013101E-3,4.364359140E-2
9.304341667E-2,3.623419628E-2,2.278833836E-2,7.421787363E-3,4.344316140E-2
1.030634167E-1,3.111213818E-2,1.776907966E-2,7.285166997E-3,3.656198835E-2
1.130834167E-1,3.135401011E-2,9.033664130E-3,3.683953080E-3,3.283675605E-2
1.231034167E-1,2.491688170E-2,-7.752911188E-4,5.770006683E-3,2.558798638E-2
1.331244167E-1,2.373550460E-2,-1.261916757E-2,5.805693101E-3,2.750133889E-2
1.431444167E-1,1.944355294E-2,-1.631909795E-2,4.286626354E-3,2.574373466E-2
1.531644167E-1,1.100898720E-2,-1.321468595E-2,4.033347126E-3,1.766617143E-2
1.631844167E-1,8.110136725E-3,-7.018840872E-3,1.671123318E-3,1.085500336E-2
1.732044167E-1,3.942577168E-3,-1.417524414E-3,-1.969337463E-4,4.194290535E-3
1.832244167E-1,-6.040016189E-3,8.423388004E-3,-2.080587670E-3,1.057185443E-2
1.932444167E-1,-1.249719225E-2,1.884842291E-2,-5.833577365E-3,2.335537380E-2
2.032644167E-1,-2.161265910E-2,2.190306783E-2,-6.922543980E-3,3.154002265E-2
2.132844167E-1,-2.287038043E-2,1.715457626E-2,-9.610841051E-3,3.016126744E-2
2.233054167E-1,-2.568960190E-2,7.233767770E-3,-7.132236380E-3,2.762520294E-2
2.333254167E-1,-2.677827142E-2,1.884940430E-3,-5.888513289E-3,2.748278388E-2
