"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.861833335E-3,-6.044403911E-1,4.704138041E-1,5.598682538E-2,7.679660526E-1
1.389583334E-2,-7.423388958E-1,9.100283980E-1,1.971197277E-1,1.190829504E0
2.393083333E-2,-8.157978058E-1,1.217933297E0,3.085097373E-1,1.498020639E0
3.396483333E-2,-8.192458153E-1,1.260292768E0,3.776611090E-1,1.549880473E0
4.399883334E-2,-7.670087218E-1,1.054213405E0,4.212823212E-1,1.370090171E0
5.403383335E-2,-6.680212021E-1,7.320733666E-1,3.803644478E-1,1.061537024E0
6.406783333E-2,-5.477810502E-1,4.387458265E-1,2.913255990E-1,7.598898498E-1
7.410183334E-2,-4.426128268E-1,2.411688268E-1,1.301921159E-1,5.205943762E-1
8.413683335E-2,-3.730280101E-1,1.544238329E-1,-8.049491793E-2,4.116746875E-1
9.417083333E-2,-3.406865895E-1,2.579517961E-1,-2.269269675E-1,4.838412239E-1
1.042058333E-1,-3.468610644E-1,4.349596500E-1,-3.133834898E-1,6.385230668E-1
1.142398333E-1,-3.750333190E-1,6.205404401E-1,-3.176259100E-1,7.915848956E-1
1.242738334E-1,-4.106356502E-1,7.521708608E-1,-2.622908652E-1,8.962026216E-1
1.343088333E-1,-4.593382180E-1,8.151783347E-1,-2.096606642E-1,9.588873291E-1
1.443428333E-1,-5.209586024E-1,8.205572963E-1,-1.717670560E-1,9.870238414E-1
1.543768334E-1,-5.826342106E-1,8.200598359E-1,-1.711582690E-1,1.020419478E0
1.644118333E-1,-6.342596412E-1,7.948325872E-1,-1.948827952E-1,1.035385647E0
1.744458333E-1,-6.597290635E-1,6.816908121E-1,-2.380747348E-1,9.780717662E-1
1.844808333E-1,-6.615528464E-1,4.721172452E-1,-2.977091670E-1,8.655504664E-1
1.945148333E-1,-6.580838561E-1,2.073244601E-1,-3.540526032E-1,7.755069563E-1
2.045488333E-1,-6.630203724E-1,-5.600447580E-2,-3.847359717E-1,7.686054146E-1
2.145838334E-1,-6.670331955E-1,-1.994668394E-1,-3.975076973E-1,8.017061016E-1
2.246178333E-1,-6.894192100E-1,-2.271892279E-1,-4.064626098E-1,8.319408906E-1
2.346518333E-1,-7.274744511E-1,-1.444014013E-1,-4.125942588E-1,8.487077613E-1
2.446868333E-1,-7.709124684E-1,2.195088379E-2,-4.147346318E-1,8.756669973E-1
2.547208333E-1,-8.042773008E-1,2.047409415E-1,-4.222034812E-1,9.311480061E-1
2.647558333E-1,-8.343735337E-1,3.726785183E-1,-4.438193440E-1,1.015895704E0
2.747898333E-1,-8.476166725E-1,4.708839059E-1,-4.579434097E-1,1.072332897E0
2.848238334E-1,-8.711552024E-1,5.153607130E-1,-4.529224932E-1,1.108894421E0
2.948588333E-1,-8.942807317E-1,5.022097230E-1,-4.331554472E-1,1.113362598E0
3.048928333E-1,-9.380089641E-1,4.314962626E-1,-4.177159667E-1,1.113793729E0
3.149278333E-1,-1.010526657E0,3.148577809E-1,-4.083458781E-1,1.134480455E0
3.249618333E-1,-1.110651731E0,1.443031281E-1,-4.136777520E-1,1.193943024E0
3.349958333E-1,-1.230311871E0,-6.299173832E-2,-4.057252705E-1,1.297015132E0
3.450308333E-1,-1.371070623E0,-1.650858074E-1,-3.715098202E-1,1.430072559E0
3.550648333E-1,-1.534953475E0,-1.739954203E-1,-3.205097616E-1,1.577682821E0
3.650988333E-1,-1.697279096E0,-6.832214445E-2,-2.500463128E-1,1.716958766E0
3.751338334E-1,-1.874983311E0,2.229073048E-1,-1.529189348E-1,1.894369099E0
3.851678333E-1,-2.062642813E0,6.115649939E-1,-3.452126309E-2,2.151673496E0
3.952028333E-1,-2.242116451E0,1.019193649E0,6.539494544E-2,2.463761022E0
4.052364583E-1,-2.370741844E0,1.390640616E0,1.149381399E-1,2.750910575E0
4.152704584E-1,-2.416905880E0,1.617881060E0,1.457501054E-1,2.912081086E0
4.253054583E-1,-2.445965767E0,1.626863360E0,1.814738959E-1,2.943189715E0
4.353394583E-1,-2.492965221E0,1.435591340E0,2.494180650E-1,2.887560815E0
4.453734584E-1,-2.476559401E0,9.341697097E-1,2.633017004E-1,2.659952499E0
4.554084583E-1,-2.402403355E0,3.175331354E-1,2.200682163E-1,2.433269239E0
4.654424583E-1,-2.386473417E0,3.829462454E-2,1.870179176E-1,2.394096396E0
4.754774583E-1,-2.464917660E0,4.655601457E-2,1.238554716E-1,2.468466469E0
4.855114583E-1,-2.590659380E0,1.453226507E-1,5.789930001E-2,2.595378012E0
4.955454583E-1,-2.707526207E0,2.137179524E-1,-3.181034699E-2,2.716134279E0
5.055804584E-1,-2.786684036E0,2.201120406E-1,-1.322764605E-1,2.798491431E0
5.156144583E-1,-2.830699921E0,2.091976106E-1,-2.217147350E-1,2.847065701E0
5.256494583E-1,-2.825859308E0,2.013093978E-1,-2.599583864E-1,2.844922612E0
5.356834584E-1,-2.750359535E0,1.657929569E-1,-2.792263627E-1,2.769464251E0
5.457174583E-1,-2.643355846E0,1.187419146E-1,-3.389644325E-1,2.667644403E0
5.557524583E-1,-2.530462265E0,2.427266724E-2,-4.229978025E-1,2.565688130E0
5.657864583E-1,-2.420436621E0,-1.150689796E-1,-4.757526219E-1,2.469432093E0
5.758204584E-1,-2.472860575E0,-1.832419187E-1,-4.974376857E-1,2.529043549E0
5.858554583E-1,-2.735572815E0,-1.621292681E-1,-4.629908502E-1,2.779209429E0
5.958894583E-1,-3.091565371E0,-3.511990607E-2,-3.982011974E-1,3.117302366E0
6.059244583E-1,-3.424631834E0,1.746221483E-1,-3.470243514E-1,3.446595711E0
6.159584583E-1,-3.729374886E0,3.429003656E-1,-3.021458387E-1,3.757274252E0
6.259924583E-1,-4.040082932E0,2.683418393E-1,-3.079121709E-1,4.060675725E0
6.360274583E-1,-4.331990242E0,4.286183789E-2,-3.640342951E-1,4.347470249E0
6.460614583E-1,-4.580185413E0,-7.974262536E-2,-4.089294374E-1,4.599095628E0
6.560964583E-1,-4.788924694E0,-1.090887934E-1,-4.289638698E-1,4.809335723E0
6.661304584E-1,-4.900240898E0,-1.088523045E-1,-4.171705544E-1,4.919170759E0
6.761644583E-1,-4.920733452E0,-2.098630667E-1,-3.750215173E-1,4.939463670E0
6.861994583E-1,-4.846178532E0,-3.417809606E-1,-3.214666247E-1,4.868839839E0
6.962334584E-1,-4.682065964E0,-3.838703632E-1,-2.949926853E-1,4.707028662E0
7.062674583E-1,-4.517960548E0,-2.942579985E-1,-3.081012070E-1,4.538004147E0
7.163024583E-1,-4.369169712E0,-8.631996810E-2,-3.135580122E-1,4.381257095E0
7.263364583E-1,-4.224523544E0,1.329738647E-1,-3.025967181E-1,4.237433893E0
7.363714583E-1,-4.021382809E0,2.387040257E-1,-2.586867809E-1,4.036758372E0
7.464054583E-1,-3.806417704E0,2.995366454E-1,-1.328288019E-1,3.820494919E0
7.564394583E-1,-3.625568151E0,2.138878107E-1,2.055010386E-2,3.631929890E0
7.664744583E-1,-3.463075638E0,9.331470355E-4,1.320912540E-1,3.465594010E0
7.765084583E-1,-3.301959038E0,-1.121092513E-1,1.987672150E-1,3.309835400E0
7.865434584E-1,-3.147205830E0,-1.790937036E-1,2.585077286E-1,3.162879279E0
7.965774583E-1,-2.960650921E0,-1.926617026E-1,2.765631676E-1,2.979775091E0
8.066114583E-1,-2.709661961E0,-1.090086997E-1,1.790982038E-1,2.717761396E0
8.166464583E-1,-2.381358624E0,-3.808632493E-2,1.206394751E-2,2.381693725E0
8.266804584E-1,-2.030547142E0,6.418526173E-2,-1.406117380E-1,2.036421642E0
8.367144583E-1,-1.688175201E0,3.073379993E-1,-2.493704557E-1,1.733948610E0
8.467494583E-1,-1.379339457E0,6.300294399E-1,-3.192167580E-1,1.549649564E0
8.567834584E-1,-1.207647085E0,8.415291905E-1,-3.118858635E-1,1.504611462E0
8.668184583E-1,-1.183169246E0,1.018762112E0,-2.403367460E-1,1.579723854E0
8.768524583E-1,-1.227824092E0,1.085763216E0,-1.625705659E-1,1.647077093E0
8.868864583E-1,-1.323283315E0,9.567164779E-1,-7.540963590E-2,1.634647290E0
8.969214583E-1,-1.458002567E0,6.975999475E-1,7.237875462E-2,1.617917135E0
9.069554583E-1,-1.565209985E0,3.895764649E-1,2.257658988E-1,1.628687312E0
9.169904584E-1,-1.621133685E0,1.573078185E-1,3.177786469E-1,1.659458780E0
9.270244583E-1,-1.618023276E0,6.746282429E-2,3.520844579E-1,1.657261000E0
9.370584583E-1,-1.595437884E0,1.957867146E-1,3.550312221E-1,1.646147517E0
9.470934584E-1,-1.606625438E0,3.993294239E-1,3.859612942E-1,1.699904529E0
9.571274583E-1,-1.643469214E0,4.841074347E-1,4.254969954E-1,1.765332479E0
9.671614583E-1,-1.632379174E0,3.458306193E-1,4.763512015E-1,1.735272616E0
9.771964583E-1,-1.529048324E0,6.190780923E-2,5.528334379E-1,1.627097466E0
9.872304583E-1,-1.382717609E0,-1.978941709E-1,6.600737572E-1,1.544916650E0
9.972654583E-1,-1.254512668E0,-2.442920208E-1,7.699906230E-1,1.492101265E0
1.007299458E0,-1.143747091E0,-1.259200424E-1,8.481628895E-1,1.429473173E0
1.017333458E0,-1.028165102E0,1.077654678E-2,8.680335283E-1,1.345630639E0
1.027368458E0,-8.969231248E-1,1.677152216E-1,8.062269092E-1,1.217621171E0
1.037402458E0,-7.663315535E-1,3.195489645E-1,6.485400796E-1,1.053555801E0
1.047437458E0,-6.424478292E-1,4.212526381E-1,4.439972937E-1,8.873142596E-1
1.057471458E0,-5.113912225E-1,4.175090194E-1,2.409243584E-1,7.027654731E-1
1.067505458E0,-4.035094380E-1,3.857926428E-1,6.659393013E-2,5.622193356E-1
1.077540458E0,-3.301710188E-1,4.115528762E-1,-7.709905505E-2,5.332287838E-1
1.087574458E0,-2.715951204E-1,5.581143498E-1,-2.196078002E-1,6.583943521E-1
1.097609458E0,-2.276769578E-1,6.767528057E-1,-3.444035351E-1,7.927452000E-1
1.107643458E0,-2.546861470E-1,6.770888567E-1,-4.703339934E-1,8.628606021E-1
1.117677458E0,-3.743097484E-1,6.003011465E-1,-6.183740497E-1,9.396040227E-1
1.127712458E0,-5.775222182E-1,5.626890659E-1,-7.933503985E-1,1.131174501E0
1.137746458E0,-8.085535765E-1,5.089653730E-1,-9.510856867E-1,1.348098149E0
1.147780458E0,-1.073991299E0,3.370119035E-1,-1.036702394E0,1.530289576E0
1.157815458E0,-1.327726841E0,9.604884684E-2,-1.037269711E0,1.687605523E0
1.167849458E0,-1.553385496E0,-4.410582781E-2,-9.814844131E-1,1.838005298E0
1.177884458E0,-1.720137715E0,-1.421439797E-1,-8.389091492E-1,1.919074577E0
1.187918458E0,-1.796151280E0,-2.454857230E-1,-5.878525972E-1,1.905778932E0
1.197952458E0,-1.765552282E0,-3.345146477E-1,-2.885969281E-1,1.819989862E0
