segment,start,end,keep,comment
0,10.52,11.44,,Intermediate axis rotation
1,23.19,24.03,,Intermediate axis rotation
2,38.25,39.17,,Intermediate axis rotation
3,49.18,49.96,,Intermediate axis rotation
4,69.40,70.39,,Intermediate axis rotation
5,78.22,79.22,,Intermediate axis rotation
6,106.45,107.45,,Intermediate axis rotation
7,125.78,126.77,,Intermediate axis rotation
8,154.13,154.87,,Intermediate axis rotation
9,163.42,164.38,,Intermediate axis rotation
10,175.66,176.58,,Intermediate axis rotation
11,189.90,190.78,,Intermediate axis rotation
12,206.28,207.18,,Intermediate axis rotation
13,216.52,217.43,,Intermediate axis rotation
14,226.87,227.82,,Intermediate axis rotation
15,243.30,244.22,,Intermediate axis rotation
16,256.42,257.36,,Intermediate axis rotation
17,266.18,267.06,,Intermediate axis rotation
18,275.76,276.56,,Intermediate axis rotation
19,284.30,285.00,,Intermediate axis rotation
20,296.63,297.31,,Intermediate axis rotation
21,306.30,307.01,,Intermediate axis rotation
22,318.82,319.50,,Intermediate axis rotation
23,330.73,331.68,,Intermediate axis rotation
24,340.20,341.08,,Intermediate axis rotation
