"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.739553125377863E9,"2025-02-14 09:12:05.378 UTC-08:00"
"PAUSE",1.749756100000013E1,1.739553142875584E9,"2025-02-14 09:12:22.876 UTC-08:00"
"START",1.749756100000013E1,1.739553162629982E9,"2025-02-14 09:12:42.630 UTC-08:00"
"PAUSE",2.646124079166657E1,1.739553171593743E9,"2025-02-14 09:12:51.594 UTC-08:00"
"START",2.646124079166657E1,1.739553189355952E9,"2025-02-14 09:13:09.356 UTC-08:00"
"PAUSE",4.612409620833387E1,1.739553209018987E9,"2025-02-14 09:13:29.019 UTC-08:00"
"START",4.612409620833387E1,1.739553214409107E9,"2025-02-14 09:13:34.409 UTC-08:00"
"PAUSE",5.307098712500192E1,1.739553221356061E9,"2025-02-14 09:13:41.356 UTC-08:00"
"START",5.307098712500192E1,1.739553226325750E9,"2025-02-14 09:13:46.326 UTC-08:00"
"PAUSE",7.518486033333647E1,1.739553248439825E9,"2025-02-14 09:14:08.440 UTC-08:00"
"START",7.518486033333647E1,1.739553268695230E9,"2025-02-14 09:14:28.695 UTC-08:00"
"PAUSE",8.367328758333497E1,1.739553277183734E9,"2025-02-14 09:14:37.184 UTC-08:00"
"START",8.367328758333497E1,1.739553284262918E9,"2025-02-14 09:14:44.263 UTC-08:00"
"PAUSE",1.122198507500034E2,1.739553312809742E9,"2025-02-14 09:15:12.810 UTC-08:00"
"START",1.122198507500034E2,1.739553415212719E9,"2025-02-14 09:16:55.213 UTC-08:00"
"PAUSE",1.351688989166705E2,1.739553438161976E9,"2025-02-14 09:17:18.162 UTC-08:00"
"START",1.351688989166705E2,1.739553444328691E9,"2025-02-14 09:17:24.329 UTC-08:00"
"PAUSE",1.602756516250029E2,1.739553469435673E9,"2025-02-14 09:17:49.436 UTC-08:00"
"START",1.602756516250029E2,1.739553473129741E9,"2025-02-14 09:17:53.130 UTC-08:00"
"PAUSE",1.706177597916703E2,1.739553483471943E9,"2025-02-14 09:18:03.472 UTC-08:00"
"START",1.706177597916703E2,1.739553489800758E9,"2025-02-14 09:18:09.801 UTC-08:00"
"PAUSE",1.818521320000036E2,1.739553501035233E9,"2025-02-14 09:18:21.035 UTC-08:00"
"START",1.818521320000036E2,1.739553507763818E9,"2025-02-14 09:18:27.764 UTC-08:00"
"PAUSE",1.951697245416690E2,1.739553521081532E9,"2025-02-14 09:18:41.082 UTC-08:00"
"START",1.951697245416690E2,1.739554192638959E9,"2025-02-14 09:29:52.639 UTC-08:00"
"PAUSE",2.106453169166689E2,1.739554208114568E9,"2025-02-14 09:30:08.115 UTC-08:00"
"START",2.106453169166689E2,1.739554213365233E9,"2025-02-14 09:30:13.365 UTC-08:00"
"PAUSE",2.205444513333368E2,1.739554223264377E9,"2025-02-14 09:30:23.264 UTC-08:00"
"START",2.205444513333368E2,1.739554229384912E9,"2025-02-14 09:30:29.385 UTC-08:00"
"PAUSE",2.327335705416699E2,1.739554241574044E9,"2025-02-14 09:30:41.574 UTC-08:00"
"START",2.327335705416699E2,1.739554249978392E9,"2025-02-14 09:30:49.978 UTC-08:00"
"PAUSE",2.525175379583361E2,1.739554269762381E9,"2025-02-14 09:31:09.762 UTC-08:00"
"START",2.525175379583361E2,1.739554360221580E9,"2025-02-14 09:32:40.222 UTC-08:00"
"PAUSE",2.641961995000038E2,1.739554371900254E9,"2025-02-14 09:32:51.900 UTC-08:00"
"START",2.641961995000038E2,1.739554376935101E9,"2025-02-14 09:32:56.935 UTC-08:00"
"PAUSE",2.734237921250042E2,1.739554386162702E9,"2025-02-14 09:33:06.163 UTC-08:00"
"START",2.734237921250042E2,1.739554389336856E9,"2025-02-14 09:33:09.337 UTC-08:00"
"PAUSE",2.812765616250035E2,1.739554397189633E9,"2025-02-14 09:33:17.190 UTC-08:00"
"START",2.812765616250035E2,1.739554404642846E9,"2025-02-14 09:33:24.643 UTC-08:00"
"PAUSE",2.926284172916712E2,1.739554415994713E9,"2025-02-14 09:33:35.995 UTC-08:00"
"START",2.926284172916712E2,1.739554418869118E9,"2025-02-14 09:33:38.869 UTC-08:00"
"PAUSE",3.025245887500041E2,1.739554428765299E9,"2025-02-14 09:33:48.765 UTC-08:00"
"START",3.025245887500041E2,1.739554432436507E9,"2025-02-14 09:33:52.437 UTC-08:00"
"PAUSE",3.126631538333386E2,1.739554442575083E9,"2025-02-14 09:34:02.575 UTC-08:00"
"START",3.126631538333386E2,1.739554444818018E9,"2025-02-14 09:34:04.818 UTC-08:00"
"PAUSE",3.264405973333396E2,1.739554458595476E9,"2025-02-14 09:34:18.595 UTC-08:00"
"START",3.264405973333396E2,1.739554461986062E9,"2025-02-14 09:34:21.986 UTC-08:00"
"PAUSE",3.371286509166730E2,1.739554472674126E9,"2025-02-14 09:34:32.674 UTC-08:00"
"START",3.371286509166730E2,1.739554474069154E9,"2025-02-14 09:34:34.069 UTC-08:00"
"PAUSE",3.455214764583398E2,1.739554482461988E9,"2025-02-14 09:34:42.462 UTC-08:00"
