"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.293812500E-2,7.002363354E-2,5.413137376E-2,3.425156325E-2,9.490355349E-2
4.295812500E-2,-3.044011816E-2,-2.151818424E-1,6.065199152E-3,2.174088608E-1
5.297812500E-2,-1.158714145E-1,-4.544124007E-1,-2.427480184E-2,4.695807499E-1
6.299712500E-2,-1.681519449E-1,-6.599413753E-1,-2.175731584E-2,6.813744023E-1
7.301712500E-2,-1.700958014E-1,-7.659782171E-1,2.835984156E-2,7.851493433E-1
8.303712500E-2,-1.457300037E-1,-7.500485182E-1,9.188608825E-2,7.695797989E-1
9.305712500E-2,-1.181862801E-1,-5.799315572E-1,9.785962105E-2,5.998875838E-1
1.030771250E-1,-7.412721217E-2,-4.359120429E-1,-8.497711271E-3,4.422514712E-1
1.130971250E-1,5.122750066E-3,-2.732000053E-1,-1.045057699E-1,2.925507501E-1
1.231161250E-1,5.490202457E-2,1.227044463E-1,-7.338007540E-2,1.531510657E-1
1.331361250E-1,7.889386266E-2,4.175860584E-1,-5.962405726E-2,4.291356265E-1
1.431561250E-1,6.277029216E-2,5.677516460E-1,-2.739794180E-2,5.718677193E-1
1.531761250E-1,-1.997746155E-2,6.020501256E-1,2.907149121E-2,6.030825850E-1
1.631961250E-1,-1.800432950E-1,5.419335365E-1,9.208960086E-2,5.784358570E-1
1.732161250E-1,-3.778418005E-1,4.104465544E-1,1.665041298E-1,5.821979263E-1
1.832351250E-1,-5.954316258E-1,3.558631837E-1,2.634003162E-1,7.419953862E-1
1.932551250E-1,-7.795457244E-1,3.585815430E-1,3.473429680E-1,9.256994095E-1
2.032751250E-1,-8.915044665E-1,2.739531994E-1,3.511728644E-1,9.965705946E-1
2.132951250E-1,-9.460956454E-1,1.492415667E-1,2.887019813E-1,1.000359360E0
2.233151250E-1,-9.619129896E-1,7.484057546E-2,2.537496090E-1,9.976304804E-1
2.333351250E-1,-9.142749310E-1,5.706644431E-2,2.888700366E-1,9.605212785E-1
2.433541250E-1,-8.313278556E-1,1.227591708E-1,3.761104047E-1,9.206708717E-1
2.533741250E-1,-7.473245263E-1,2.429671288E-1,4.553878009E-1,9.082428213E-1
2.633941250E-1,-6.940035224E-1,2.892331779E-1,5.187771916E-1,9.134694822E-1
2.734141250E-1,-6.527531147E-1,1.370211989E-1,5.418100953E-1,8.593134568E-1
2.834341250E-1,-5.705608130E-1,-2.922876365E-2,5.248286724E-1,7.757828931E-1
2.934541667E-1,-4.547762275E-1,-1.576702893E-1,5.060187578E-1,6.983812143E-1
3.034731667E-1,-3.532474935E-1,-2.468411773E-1,4.883497357E-1,6.513062436E-1
3.134931667E-1,-2.933099568E-1,-3.782667816E-1,4.925101101E-1,6.867915968E-1
3.235131667E-1,-2.929437757E-1,-5.106639862E-1,4.786728621E-1,7.587631194E-1
3.335331667E-1,-3.351140320E-1,-5.974569917E-1,4.753255546E-1,8.337809390E-1
3.435531667E-1,-3.693092763E-1,-7.558248043E-1,4.766017497E-1,9.668555757E-1
3.535721667E-1,-4.271869957E-1,-9.086683989E-1,4.986025095E-1,1.121058184E0
3.635921667E-1,-4.827354848E-1,-9.705983400E-1,5.231765509E-1,1.203664567E0
3.736121667E-1,-4.938074350E-1,-1.017254829E0,5.601052642E-1,1.261891865E0
3.836321667E-1,-4.698264897E-1,-9.396103024E-1,6.103841066E-1,1.214978686E0
3.936521667E-1,-4.211977720E-1,-7.314270735E-1,6.494582891E-1,1.064983191E0
4.036721667E-1,-3.421085477E-1,-5.390539169E-1,6.500428319E-1,9.111383359E-1
4.136911667E-1,-3.081000745E-1,-4.144755304E-1,5.921677351E-1,7.857342093E-1
4.237111667E-1,-3.794171512E-1,-4.629019201E-1,5.357625484E-1,8.032913983E-1
4.337311667E-1,-5.434908867E-1,-6.204842329E-1,5.056353211E-1,9.674968244E-1
4.437511667E-1,-7.334573269E-1,-7.242348790E-1,4.829625189E-1,1.138300753E0
4.537711667E-1,-9.480280280E-1,-7.707510591E-1,3.837895989E-1,1.280667323E0
4.637911667E-1,-1.216625094E0,-1.149296045E0,4.974476621E-2,1.674375275E0
4.738101667E-1,-1.342900753E0,-1.134804368E0,-3.274317458E-2,1.758475334E0
4.838301667E-1,-1.394918680E0,-1.012441635E0,-6.660313904E-2,1.724897727E0
4.938501667E-1,-1.384879470E0,-9.986039400E-1,-9.559106827E-2,1.710040534E0
5.038701667E-1,-1.271822095E0,-9.550345540E-1,-1.610731333E-1,1.598614086E0
5.138901667E-1,-1.126214862E0,-9.212769866E-1,-2.493182421E-1,1.476235343E0
5.239101667E-1,-9.921603203E-1,-1.042140603E0,-3.139214516E-1,1.472747709E0
5.339291667E-1,-8.660326600E-1,-1.086130977E0,-3.117347956E-1,1.423682426E0
5.439491667E-1,-6.794390678E-1,-8.566709161E-1,-2.650645077E-1,1.125069642E0
5.539691667E-1,-4.363996089E-1,-3.900454640E-1,-2.423685193E-1,6.335002619E-1
5.639891667E-1,-2.061826438E-1,6.969974935E-2,-2.441019714E-1,3.270399212E-1
5.740091667E-1,-2.262508571E-1,6.733932346E-2,-2.241468281E-1,3.255239398E-1
5.840291667E-1,-3.596225083E-1,-4.219542816E-2,-1.734825820E-1,4.015034357E-1
5.940481667E-1,-4.517769814E-1,5.690790340E-2,-1.327095330E-1,4.742918621E-1
6.040681667E-1,-5.231121778E-1,3.230985701E-1,-5.738681927E-2,6.175210795E-1
6.140881667E-1,-6.141259074E-1,5.116922855E-1,6.024895236E-2,8.016293168E-1
6.241081667E-1,-7.615366578E-1,5.371209383E-1,1.565688252E-1,9.449607297E-1
6.341281667E-1,-9.745599627E-1,4.797662795E-1,2.026770264E-1,1.104998091E0
6.441481667E-1,-1.217334986E0,3.975699544E-1,2.012242675E-1,1.296324628E0
6.541671667E-1,-1.485218883E0,1.658325940E-1,1.713559330E-1,1.504240152E0
6.641871667E-1,-1.745795369E0,-6.916871667E-2,1.419530362E-1,1.752922259E0
6.742071667E-1,-1.967727065E0,-1.325955093E-1,8.262310922E-2,1.973919439E0
6.842271667E-1,-2.108013630E0,-1.210690010E-2,-3.266912699E-2,2.108301523E0
6.942471667E-1,-2.053203821E0,3.162977993E-1,-1.428374052E-1,2.082328685E0
7.042661667E-1,-1.982486129E0,6.007580161E-1,-2.354038209E-1,2.084844456E0
7.142861667E-1,-1.950350523E0,7.758989930E-1,-3.249658048E-1,2.124026644E0
7.243061667E-1,-1.994058847E0,7.348982692E-1,-4.169878662E-1,2.165692738E0
7.343261667E-1,-2.068472862E0,6.140401959E-1,-4.801220894E-1,2.210462070E0
7.443461667E-1,-2.135413408E0,5.376870632E-1,-3.337827325E-1,2.227219952E0
7.543661667E-1,-2.084833145E0,4.222558439E-1,-1.185338050E-1,2.130464622E0
7.643851667E-1,-1.977422118E0,1.000535935E-1,-2.049325779E-2,1.980057809E0
7.744051667E-1,-1.720459938E0,-4.120513052E-2,-6.373395771E-2,1.722133061E0
7.844251667E-1,-1.334229112E0,1.347493976E-1,-1.859661341E-1,1.353849373E0
7.944451667E-1,-9.399946332E-1,2.482503206E-1,-2.628952265E-1,1.007140523E0
